	world	description	category	animating	footprintx	footprintz	height	filename	seqname	seqnameshad	animtrans	shadtrans	hitdensity	metal	damage	indestructible	seqnamereclamate	energy	seqnameburn	seqnameburnshad	featureburnt	burnmin	burnmax	sparktime	spreadchance	burnweapon	seqnamedie	featuredead	flamable	reclaimable	featurereclamamate	reproduce	reproducearea	blocking	geothermal	object	autoreclaimable	nodrawundergray	featurereclamate	nodisplayinfo	permanent	energy 
ReImagined HPI RAW\features\corpses\core_corpses.corhlt_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	471	950		tree1reclamate											corhlt_heap		1				1		corhlt_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corhurc_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	161	240		tree1reclamate											corhurc_heap		1				1		corhurc_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corint_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	4267	1520		tree1reclamate											corint_heap		1				1		corint_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corlab_dead	All Worlds	Wreckage	core_corpses		6	6	20						100	544	2080		tree1reclamate											corlab_heap		1				1		corlab_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corllt_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	214	568		tree1reclamate											corllt_heap		1				1		corllt_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.cormakr_dead	All Worlds	Wreckage	core_corpses		4	3	20						100	0	120		tree1reclamate											cormakr_heap		1				1		cormakr_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.cormart_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	201	480		tree1reclamate											cormart_heap		1				1		cormart_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.cormex_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	41	140		tree1reclamate											cormex_heap		1				1		cormex_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.cormist_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	114	794		tree1reclamate											cormist_heap		1				1		cormist_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.cormoho_dead	All Worlds	Wreckage	core_corpses		5	5	20						100	1160	1172		tree1reclamate											cormoho_heap		1				1		cormoho_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.cormship_dead	All Worlds	Wreckage	core_corpses		6	6	4						100	1826	24000		tree1reclamate													1				0		cormship_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.cormstor_dead	All Worlds	Wreckage	core_corpses		5	5	20						100	256	1045		tree1reclamate											cormstor_heap		1				1		cormstor_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corpt_dead	All Worlds	Wreckage	core_corpses		3	3	4						100	76	24000		tree1reclamate													1				0		corpt_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corpun_dead	All Worlds	Wreckage	core_corpses		4	3	20						100	1510	2352		tree1reclamate											corpun_heap		1				1		corpun_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corpyro_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	208	560		tree1reclamate											corpyro_heap		1				1		corpyro_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corrad_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	15	41		tree1reclamate											corrad_heap		1				1		corrad_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corraid_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	135	846		tree1reclamate											corraid_heap		1				1		corraid_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.correap_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	378	1611		tree1reclamate											correap_heap		1				1		correap_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corrl_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	62	240		tree1reclamate											corrl_heap		1				1		corrl_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corroach_dead	All Worlds	Wreckage	core_corpses		1	1	20						100	52	156		tree1reclamate											corroach_heap		1				1		corroach_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corroy_dead	All Worlds	Wreckage	core_corpses		5	5	4						100	710	24000		tree1reclamate													1				0		corroy_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corseal_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	236	915		tree1reclamate											corseal_heap		1				1		corseal_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corshad_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	161	240		tree1reclamate											corshad_heap		1				1		corshad_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corshark_dead	All Worlds	Wreckage	core_corpses		6	6	4						100	1085	221		tree1reclamate													1				0		corshark_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corsilo_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	780	2048		tree1reclamate											corsilo_heap		1				1		corsilo_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corsolar_dead	All Worlds	Wreckage	core_corpses		4	4	20						100	116	261		tree1reclamate											corsolar_heap		1				1		corsolar_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corsonar_dead	All Worlds	Wreckage	core_corpses		2	2	4						100	16	24000		tree1reclamate													1				0		corsonar_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corspec_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	48	144		tree1reclamate											corspec_heap		1				1		corspec_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corstorm_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	103	592		tree1reclamate											corstorm_heap		1				1		corstorm_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corsub_dead	All Worlds	Wreckage	core_corpses		4	4	4						100	903	24000		tree1reclamate													1				0		corsub_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corsy_dead	All Worlds	Wreckage	core_corpses		7	7	4						100	480	24000		tree1reclamate													1				0		corsy_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corthud_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	118	640		tree1reclamate											corthud_heap		1				1		corthud_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.cortide_dead	All Worlds	Wreckage	core_corpses		4	4	4						100	65	24000		tree1reclamate													1				0		cortide_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.cortitan_dead	All Worlds	Wreckage	core_corpses		4	4	20						100	126	160		tree1reclamate											cortitan_heap		1				1		cortitan_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.cortl_dead	All Worlds	Wreckage	core_corpses		3	3	4						100	745	24000		tree1reclamate													1				0		cortl_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.cortruck_dead	All Worlds	Wreckage	core_corpses		2	2	4						100	710	24000		tree1reclamate											cortruck_heap		1				0		cortruck_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.cortship_dead	All Worlds	Wreckage	core_corpses		5	5	4						100	710	24000		tree1reclamate													1				0		cortship_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corvalk_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	95	120		tree1reclamate											corvalk_heap		1				1		corvalk_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corvamp_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	174	400		tree1reclamate											corvamp_heap		1				1		corvamp_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corveng_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	126	160		tree1reclamate											corveng_heap		1				1		corveng_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corvp_dead	All Worlds	Wreckage	core_corpses		7	7	20						100	480	2040		tree1reclamate											corvp_heap		1				1		corvp_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corvrad_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	72	400		tree1reclamate											corvrad_heap		1				1		corvrad_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corvroc_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	342	482		tree1reclamate											corvroc_heap		1				1		corvroc_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_corpses.corwin_dead	All Worlds	Wreckage	core_corpses		4	4	20						100	44	1430		tree1reclamate											corwin_heap		1				1		corwin_dead			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.coraap_heap	All Worlds	Wreckage	heaps		6	6	4						100	876	1760		tree1reclamate													1				0		6x6a			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.coraca_heap	All Worlds	Wreckage	heaps		2	2	4						100	92	296		tree1reclamate													1				0		2x2a			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corack_heap	All Worlds	Wreckage	heaps		2	2	4						100	130	856		tree1reclamate													1				0		2x2b			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.coracv_heap	All Worlds	Wreckage	heaps		3	3	4						100	182	976		tree1reclamate													1				0		3x3a			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corak_heap	All Worlds	Wreckage	heaps		2	2	4						100	22	212		tree1reclamate													1				0		2x2c			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.coralab_heap	All Worlds	Wreckage	heaps		5	5	4						100	789	2536		tree1reclamate													1				0		5x5a			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corap_heap	All Worlds	Wreckage	heaps		6	6	4						100	332	1540		tree1reclamate													1				0		6x6b			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corape_heap	All Worlds	Wreckage	heaps		3	3	4						100	143	960		tree1reclamate													1				0		3x3b			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corarad_heap	All Worlds	Wreckage	heaps		3	3	4						100	17	40		tree1reclamate													1				0		3x3c			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corasp_heap	All Worlds	Wreckage	heaps		4	4	4						100	172	552		tree1reclamate													1				0		4x4c			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.coravp_heap	All Worlds	Wreckage	heaps		6	6	4						100	779	2060		tree1reclamate													1				0		6x6c			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corbuild_heap	All Worlds	Wreckage	heaps		5	5	4						100	1672	24000		tree1reclamate													1				0		5x5c			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corcan_heap	All Worlds	Wreckage	heaps		2	2	4						100	168	2240		tree1reclamate													1				0		2x2f			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corck_heap	All Worlds	Wreckage	heaps		2	2	4						100	52	568		tree1reclamate													1				0		2x2f			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corcrash_heap	All Worlds	Wreckage	heaps		2	2	4						100	56	496		tree1reclamate													1				0		2x2a			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corcv_heap	All Worlds	Wreckage	heaps		3	3	4						100	70	660		tree1reclamate													1				0		3x3d			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.cordoom_heap	All Worlds	Wreckage	heaps		3	3	4						100	856	2512		tree1reclamate													1				0		3x3e			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corestor_heap	All Worlds	Wreckage	heaps		4	4	4						100	100	856		tree1reclamate													1				0		4x4a			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.coreter_heap	All Worlds	Wreckage	heaps		3	3	4						100	40	416		tree1reclamate													1				0		3x3f			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corfav_heap	All Worlds	Wreckage	heaps		2	2	4						100	15	67		tree1reclamate													1				0		2x2b			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corfink_heap	All Worlds	Wreckage	heaps		2	2	4						100	21	72		tree1reclamate													1				0		2x2d			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corfmd_heap	All Worlds	Wreckage	heaps		5	5	4						100	496	624		tree1reclamate													1				0		5x5d			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corfus_heap	All Worlds	Wreckage	heaps		5	5	4						100	2002	2400		tree1reclamate													1				0		5x5d			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corgate_heap	All Worlds	Wreckage	heaps		2	2	4						100	78994	1975		tree1reclamate													1				0		2x2e			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corgator_heap	All Worlds	Wreckage	heaps		2	2	4						100	44	522		tree1reclamate													1				0		2x2f			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corgeo_heap	All Worlds	Wreckage	heaps		4	4	4						100	202	744		tree1reclamate													1				0		4x4b			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corgol_heap	All Worlds	Wreckage	heaps		4	4	4						100	279	2276		tree1reclamate													1				0		4x4c			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corhlt_heap	All Worlds	Wreckage	heaps		3	3	4						100	236	950		tree1reclamate													1				0		3x3a			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corhurc_heap	All Worlds	Wreckage	heaps		3	3	4						100	81	240		tree1reclamate													1				0		3x3b			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corint_heap	All Worlds	Wreckage	heaps		3	3	4						100	2133	1520		tree1reclamate													1				0		3x3c			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corlab_heap	All Worlds	Wreckage	heaps		6	6	4						100	272	2080		tree1reclamate													1				0		6x6b			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corllt_heap	All Worlds	Wreckage	heaps		2	2	4						100	107	568		tree1reclamate													1				0		2x2a			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.cormakr_heap	All Worlds	Wreckage	heaps		3	3	4						100	0	120		tree1reclamate													1				0		3x3d			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.cormart_heap	All Worlds	Wreckage	heaps		2	2	4						100	100	480		tree1reclamate													1				0		2x2b			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.cormex_heap	All Worlds	Wreckage	heaps		3	3	4						100	20	140		tree1reclamate													1				0		3x3e			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.cormist_heap	All Worlds	Wreckage	heaps		3	3	4						100	57	794		tree1reclamate													1				0		3x3f			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.cormoho_heap	All Worlds	Wreckage	heaps		5	5	4						100	580	1172		tree1reclamate													1				0		5x5a			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.cormstor_heap	All Worlds	Wreckage	heaps		5	5	4						100	128	1045		tree1reclamate													1				0		5x5a			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corpun_heap	All Worlds	Wreckage	heaps		4	3	4						100	755	2352		tree1reclamate													1				0		3x3b			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corpyro_heap	All Worlds	Wreckage	heaps		2	2	4						100	104	560		tree1reclamate													1				0		2x2c			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corrad_heap	All Worlds	Wreckage	heaps		2	2	4						100	8	41		tree1reclamate													1				0		2x2d			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corraid_heap	All Worlds	Wreckage	heaps		2	2	4						100	68	846		tree1reclamate													1				0		2x2e			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.correap_heap	All Worlds	Wreckage	heaps		3	3	4						100	189	1611		tree1reclamate													1				0		3x3c			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corrl_heap	All Worlds	Wreckage	heaps		3	3	4						100	31	240		tree1reclamate													1				0		3x3d			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corroach_heap	All Worlds	Wreckage	heaps		1	1	4						100	26	156		tree1reclamate													1				0		1x1c			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corseal_heap	All Worlds	Wreckage	heaps		3	3	4						100	118	915		tree1reclamate													1				0		3x3e			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corshad_heap	All Worlds	Wreckage	heaps		3	3	4						100	80	240		tree1reclamate													1				0		3x3f			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corsilo_heap	All Worlds	Wreckage	heaps		3	3	4						100	390	2048		tree1reclamate													1				0		3x3a			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corsolar_heap	All Worlds	Wreckage	heaps		5	5	4						100	58	261		tree1reclamate													1				0		5x5c			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corspec_heap	All Worlds	Wreckage	heaps		2	2	4						100	24	144		tree1reclamate													1				0		2x2b			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corstorm_heap	All Worlds	Wreckage	heaps		2	2	4						100	52	592		tree1reclamate													1				0		2x2c			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corthud_heap	All Worlds	Wreckage	heaps		2	2	4						100	59	640		tree1reclamate													1				0		2x2d			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.cortitan_heap	All Worlds	Wreckage	heaps		4	4	4						100	63	160		tree1reclamate													1				0		4x4f			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.cortruck_heap	All Worlds	Wreckage	heaps		2	2	4						100	109	24000		tree1reclamate													1				0		2x2d			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corvalk_heap	All Worlds	Wreckage	heaps		3	3	4						100	47	120		tree1reclamate													1				0		3x3c			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corvamp_heap	All Worlds	Wreckage	heaps		3	3	4						100	87	400		tree1reclamate													1				0		3x3d			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corveng_heap	All Worlds	Wreckage	heaps		2	2	4						100	63	160		tree1reclamate													1				0		2x2e			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corvp_heap	All Worlds	Wreckage	heaps		7	7	4						100	240	2040		tree1reclamate													1				0		7x7b			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corvrad_heap	All Worlds	Wreckage	heaps		2	2	4						100	36	400		tree1reclamate													1				0		2x2f			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corvroc_heap	All Worlds	Wreckage	heaps		3	3	4						100	171	482		tree1reclamate													1				0		3x3e			smudge01			
ReImagined HPI RAW\features\corpses\core_heaps.corwin_heap	All Worlds	Wreckage	heaps		4	4	4						100	22	1430		tree1reclamate													1				0		4x4a			smudge01			
ReImagined HPI RAW\features\corpses\Corfast_dead.corfast_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	140	504		tree1reclamate											corfast_heap		1				1		corfast_dead			smudge01			
ReImagined HPI RAW\features\corpses\Corfast_dead.corfast_heap	All Worlds	Wreckage	heaps		2	2	4						100	70	252		tree1reclamate													1				0		2x2d			smudge01			
ReImagined HPI RAW\features\corpses\Corfhlt_dead.Corfhlt_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	446	1108		tree1reclamate													1				1		Corfhlt_dead			smudge01			
ReImagined HPI RAW\features\corpses\corflak_dead.corflak_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	855	1219		tree1reclamate											corflak_heap		1				1		corflak_dead			smudge01			
ReImagined HPI RAW\features\corpses\corflak_dead.corflak_heap	All Worlds	Wreckage	heaps		3	3	4						100	428	610		tree1reclamate													1				0		3x3d			smudge01			
ReImagined HPI RAW\features\corpses\Corfmkr_dead.corfmkr_dead	All Worlds	Wreckage	core_corpses		3	3	20						100		88		tree1reclamate													1				1		corfmkr_dead			smudge01			
ReImagined HPI RAW\features\corpses\Corfrt_dead.corfrt_dead	All Worlds	Wreckage	core_corpses		4	4	20						100	57	232		tree1reclamate													1				1		corfrt_dead			smudge01			
ReImagined HPI RAW\features\corpses\Corgant_dead.corgant_dead	All Worlds	Wreckage	core_corpses		9	9	20						100	5270	2440		tree1reclamate											corgant_heap		1				1		corgant_dead			smudge01			
ReImagined HPI RAW\features\corpses\Corgant_dead.corgant_heap	All Worlds	Wreckage	heaps		9	9	4						100	2635	1220		tree1reclamate													1				0		7x7b			smudge01			
ReImagined HPI RAW\features\corpses\corhp_dead.corhp_dead	All Worlds	Wreckage	core_corpses		8	7	20						100	1434	2685		tree1reclamate											corhp_heap		1				1		corhp_dead			smudge01			
ReImagined HPI RAW\features\corpses\corhp_dead.corhp_heap	All Worlds	Wreckage	heaps		8	7	4						100	717	1343		tree1reclamate													1				0		7x7d			smudge01			
ReImagined HPI RAW\features\corpses\corhrk_dead.corhrk_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	301	950		tree1reclamate											corhrk_heap		1				1		corhrk_dead			smudge01			
ReImagined HPI RAW\features\corpses\corhrk_dead.corhrk_heap	All Worlds	Wreckage	heaps		2	2	4						100	122	240		tree1reclamate													1				0		2x2b			smudge01			
ReImagined HPI RAW\features\corpses\Corkrog_dead.corkrog_dead	All Worlds	Wreckage	cor_corpses		3	3	20						100	23591	23934		tree1reclamate											corkrog_heap		1				1		corkrog_dead			smudge01			
ReImagined HPI RAW\features\corpses\Corkrog_dead.corkrog_heap	All Worlds	Wreckage	heaps		3	3	4						100	11795	11967		tree1reclamate													1				0		3x3a			smudge01			
ReImagined HPI RAW\features\corpses\Corlevlr_dead.corlevlr_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	233	300		tree1reclamate											corlevlr_heap		1				1		corlevlr_dead			smudge01			
ReImagined HPI RAW\features\corpses\Corlevlr_dead.corlevlr_heap	All Worlds	Wreckage	heaps		2	2	4						100	116	150		tree1reclamate													1				0		2x2b			smudge01			
ReImagined HPI RAW\features\corpses\CorMabm_dead.cormabm_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	991	624		tree1reclamate											cormabm_heap		1				1		cormabm_dead			smudge01			
ReImagined HPI RAW\features\corpses\CorMabm_dead.cormabm_heap	All Worlds	Wreckage	heaps		3	3	4						100	575	794		tree1reclamate													1				0		3x3d			smudge01			
ReImagined HPI RAW\features\corpses\Cormh_dead.cormh_dead	All Worlds	Wreckage	cor_corpses		3	3	20						100	254	368		tree1reclamate													1				1		cormh_dead			smudge01			
ReImagined HPI RAW\features\corpses\cormls_dead.cormls_dead	All Worlds	Wreckage	core_corpses		4	4	20						100	114	794		tree1reclamate													1				1		cormls_dead			smudge01			
ReImagined HPI RAW\features\corpses\cormlv_dead.cormlv_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	150	1120		tree1reclamate											cormlv_heap		1				1		cormlv_dead			smudge01			
ReImagined HPI RAW\features\corpses\cormlv_dead.cormlv_heap	All Worlds	Wreckage	heaps		3	3	4						100	75	560		tree1reclamate													1				0		3x3f			smudge01			
ReImagined HPI RAW\features\corpses\Cormmkr_dead.Cormmkr_dead	All Worlds	Wreckage	core_corpses		4	4	20						100	41	400		tree1reclamate											cormmkr_heap		1				1		Cormmkr_dead			smudge01			
ReImagined HPI RAW\features\corpses\Cormmkr_dead.Cormmkr_heap	All Worlds	Wreckage	heaps		4	4	4						100	21	200		tree1reclamate													1				0		4x4a			smudge01			
ReImagined HPI RAW\features\corpses\Cormort_dead.cormort_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	257	736		tree1reclamate											cormort_heap		1				1		cormort_dead			smudge01			
ReImagined HPI RAW\features\corpses\Cormort_dead.cormort_heap	All Worlds	Wreckage	heaps		2	2	4						100	129	368															1				0		2x2a						
ReImagined HPI RAW\features\corpses\Cornecro_dead.cornecro_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	132	794		tree1reclamate											cornecro_heap		1				1		cornecro_dead			smudge01			
ReImagined HPI RAW\features\corpses\Cornecro_dead.cornecro_heap	All Worlds	Wreckage	heaps		2	2	4						100	66	794		tree1reclamate													1				0		2x2d			smudge01			
ReImagined HPI RAW\features\corpses\corplas_dead.CorPlas_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	132	794		tree1reclamate											CorPlas_heap		1				1		CorPlas_dead			smudge01			
ReImagined HPI RAW\features\corpses\corplas_dead.CorPlas_heap	All Worlds	Wreckage	heaps		3	3	4						100	66	794		tree1reclamate													1				0		3x3d			smudge01			
ReImagined HPI RAW\features\corpses\Corplat_dead.corplat_dead	All Worlds	Wreckage	core_corpses		7	7	20						100	1844	1600		tree1reclamate													1				1		corplat_dead			smudge01			
ReImagined HPI RAW\features\corpses\Corscorp_dead.Corscorp_dead	All Worlds	Wreckage	Core_corpses		3	3	20						100	0	800		tree1reclamate	4698												1				1		Corscorp_dead			smudge01			
ReImagined HPI RAW\features\corpses\Corsent_dead.corsent_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	709	2280		tree1reclamate											corsent_heap		1				1		corsent_dead			smudge01			
ReImagined HPI RAW\features\corpses\Corsent_dead.corsent_heap	All Worlds	Wreckage	heaps		2	2	4						100	354	1240		tree1reclamate													1				0		2x2a			smudge01			
ReImagined HPI RAW\features\corpses\Corsh_dead.corsh_dead	All Worlds	Wreckage	cor_corpses		3	3	20						100	58	160		tree1reclamate													1				1		corsh_dead			smudge01			
ReImagined HPI RAW\features\corpses\Corsjam_dead.Corsjam_dead	All Worlds	Wreckage	core_corpses		4	4	20						100	108	456		tree1reclamate													1				1		Corsjam_dead			smudge01			
ReImagined HPI RAW\features\corpses\Corsnap_dead.Corsnap_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	224	480		tree1reclamate													1				1		Corsnap_dead			smudge01			
ReImagined HPI RAW\features\corpses\Corspy_dead.Corspy_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	125	272		tree1reclamate											Corspy_heap		1				1		Corspy_dead			smudge01			
ReImagined HPI RAW\features\corpses\Corspy_dead.Corspy_heap	All Worlds	Wreckage	heaps		2	2	4						100	63	136		tree1reclamate													1				0		1x1a			smudge01			
ReImagined HPI RAW\features\corpses\Corssub_dead.corssub_dead	All Worlds	Wreckage	core_corpses		3	3	4						100	1652	794		tree1reclamate													1				0		corssub_dead			smudge01			
ReImagined HPI RAW\features\corpses\Corss_dead.Corss_dead	All Worlds	Wreckage	Core_corpses		4	4	20						100	0	342		tree1reclamate	1316												1				1		Corss_dead			smudge01			
ReImagined HPI RAW\features\corpses\Corsumo_dead.corsumo_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	674	3280		tree1reclamate											corsumo_heap		1				1		corsumo_dead			smudge01			
ReImagined HPI RAW\features\corpses\Corsumo_dead.corsumo_heap	All Worlds	Wreckage	heaps		3	3	4						100	417	2140		tree1reclamate													1				0		3x3a			smudge01			
ReImagined HPI RAW\features\corpses\Cortarg_dead.cortarg_dead	All Worlds	Wreckage	core_corpses		5	4	20						100	11986	2240		tree1reclamate											cortarg_heap		1				1		cortarg_dead			smudge01			
ReImagined HPI RAW\features\corpses\Cortarg_dead.cortarg_heap	All Worlds	Wreckage	heaps		5	4	4						100	5993	1120		tree1reclamate													1				0		4x4d			smudge01			
ReImagined HPI RAW\features\corpses\Corthovr_dead.Corthovr_dead	All Worlds	Wreckage	core_corpses		4	4	20						100	520	864		tree1reclamate													1				1		Corthovr_dead			smudge01			
ReImagined HPI RAW\features\corpses\Cortoast_dead.cortoast_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	1160	1172		tree1reclamate											cortoast_dead2		1				1		cortoast_dead			smudge01			
ReImagined HPI RAW\features\corpses\Cortoast_dead.cortoast_dead2	All Worlds	Wreckage	core_corpses		2	2	20						100	1160	1172		tree1reclamate											cortoast_heap		1				1		cortoast_dead2			smudge01			
ReImagined HPI RAW\features\corpses\Cortoast_dead.cortoast_heap	All Worlds	Wreckage	heaps		2	2	4						100	580	1172															1				0		2x2a						
