	UnitName	Version	Side	Objectname	Designation	Name	Description	FootprintX	FootprintZ	BuildCostEnergy	BuildCostMetal	MaxDamage	MaxWaterDepth	MaxSlope	EnergyUse	BuildTime	WorkerTime	BMcode	Builder	ThreeD	ZBuffer	NoAutoFire	SightDistance	RadarDistance	SoundCategory	EnergyStorage	MetalStorage	ExplodeAs	SelfDestructAs	Category	TEDClass	Copyright	YardMap	Corpse	GermanName	GermanDescription	UnitNumber	FrenchName	Frenchdescription	firestandorders	StandingFireOrder	mobilestandorders	StandingMoveOrder	canmove	canpatrol	canstop	SpanishName	SpanishDescription	ItalianName	ItalianDescription	Ovradjust	canguard	MaxVelocity	BrakeRate	Acceleration	TurnRate	SteeringMode	ShootMe	Scale	EnergyMake	DefaultMissionType	maneuverleashlength	MovementClass	MinWaterDepth	buildangle	canattack	Weapon1	Weapon2	Weapon3	downloadable	wpri_badTargetCategory	BadTargetCategory	wsec_badTargetCategory	Floater	Canfly	cruisealt	BankScale	Builddistance	CanReclamate	MetalMake	Upright	standingmoveorder	SonarDistance	WaterLine	Downloadable	Spanishdescription	Italiandescription	NoChaseCategory	canhover	digger	DamageModifier	antiweapons	ai_weight	ai_limit	noshadow	floater	waterline	ActivateWhenBuilt	onoffable	RadarDistanceJam	NoShadow	Waterline	sortbias	IsAirBase	TransMaxUnits	canload	transportsize	transportcapacity	altfromsealevel	corpse	norestrict	HoverAttack	CloakCost	candgun	CloakCostMoving	HealTime	CanCapture	HideDamage	ImmuneToParalyzer	Commander	ShowPlayerName	mincloakdistance	maxwaterdepth	amphibious	IsFeature	PigLatinName	JapaneseName	PigLatinDescription	MoveRate1	Buildangle	MakesMetal	teleporter	Stealth	ExtractsMetal	kamikaze	selfdestructcountdown	init_cloaked	attackrunlength	SonarDistanceJam	FrenchDescription	istargetingupgrade	transportmaxunits	TidalGenerator	kamikazedistance	WindGenerator	MobileStandOrders	weapon1	cantbetransported	Germanname	Germandescription	Frenchname	Spanishname	Italianname	canreclamate	canresurrect	resurrect	stealth	BuildAngle	OVRadjust	upright	ovradjust	PitchScale	MoveRate2
ReImagined HPI Compile\ReIm_Units\ARMCK.UNITINFO	ARMCK	1	ARM	ARMCK	ARM-CK1	Construction KBot	Tech Level 1	2	2	2410	120	700	25	20	0.1	5597	80	1	1	1	1	0	235	0	ARM_CKBOT	50	50	BIG_UNITEX	BIG_UNIT	ARM KBOT LEVEL1 CONSTR NOWEAPON NOTAIR NOTSUB CTRL_B	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armck_dead	Konstruktions-Kbot	Tech Level 1	20	Kbot de construction  	Niveau Tech 1			1	1	1	1	1	Kbot de Constr. 	Nivel Tecn. 1	Kbot Costruttore	Tecnologia Livello 1	1	1	0.8	0.24	0.12	1020	1	1		8	Standby	640	TANKSH2															40	1	0.25	1																																																																																		
ReImagined HPI Compile\ReIm_Units\ARMCKFUS.UNITINFO	ARMCKFUS	1.2	ARM	ARMCKFUS	AE-CKF	Cloakable Fusion Reactor	Produces Energy	5	4	42058	5420	2200	0	10	0	105487	0	0	0	1	1	0	210	0	ARM_FUS	0	0	ATOMIC_BLAST	NUCLEAR_MISSILE	ARM ENERGY LEVEL3 NOWEAPON NOTAIR NOTSUB 	ENERGY	Copyright 1997 Humongous Entertainment. All rights reserved.	oooooooooooooooooooo	armckfus_dead	Fusionreaktor-Getarnt	Liefert Energie	233	Réacteur nucléaire-Camoufle	Produit de l'énergie								Reactor de Fusión-Camuflado	Genera energía	Reattore a Fusione-Nascosto	Produce energia										1000					4096					1																																											450																																																		
ReImagined HPI Compile\ReIm_Units\ARMCOM.UNITINFO	ARMCOM	1	ARM	ARMCOM	ARM-WM	Commander	Commander	2	2	34125	29854	3000	35	20	0	95897	300	1	1	1	1		290	400	ARM_COM			COMMANDER_BLAST	COMMANDER_BLAST	ARM commander LEVEL10 WEAPON NOTAIR NOTSUB CTRL_C	COMMANDER	Copyright 1997 Humongous Entertainment. All rights reserved.			Commander	Commander	21	Commandeur	Commandant	1	2	1	0	1	1	1	Comandante	Comandante	Comandante	Comandante	1	1	1.2	0.3	0.15	1044	2	1		25	Standby	640	TANKDS2			1	ARMCOMLASER		ARM_DISINTEGRATOR		VTOL	VTOL						60	1	1	1		400					VTOL										1													1		200	1	1000	27	1	1	1	1	1	40																																									
ReImagined HPI Compile\ReIm_Units\ARMCROC.UNITINFO	ARMCROC	1	ARM	ARMCROC	ARM-CROC	Triton	Amphibious Tank	3	3	2300	298	1230	255	12	0.5	6112	0	1	0	1	1	0	240	0	ARM_TANK	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL2 WEAPON PHIB NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armcroc_dead	Triton	Amphibienpanzer	22	Triton	Char amphibie	1	2	1	1	1	1	1	Triton	Tanque anfibio	Triton	Carro armato anfibio	1	1	1.3	0.008	0.009	350	1	1		0.5	Standby	640	TANKDH3			1	ARM_MEDIUMCANNON				VTOL	VTOL																VTOL																																																																											
ReImagined HPI Compile\ReIm_Units\ARMCRUS.UNITINFO	ARMCRUS	1	ARM	ARMCRUS	ASD-SC	Conqueror	Cruiser	5	5	8608	1719	4050			2.5	17789	0	1	0	1	1	0	210	0	ARM_SHIP	0	0	SMALL_UNITEX	SMALL_UNIT	ARM SHIP LEVEL2 WEAPON ANTISUB NOTAIR NOTSUB CTRL_W 	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		armcrus_dead	Conqueror	Schwerer Kreuzer	23	Conquérant	Croiseur	1	2	1	1	1	1	1	Conqueror	Crucero	Conqueror	Incrociatore	1	1	2.5	0.05	0.02	128	1	1	0.5	2.5	Standby	640	BOATS5	30	16384	1	ARM_CRUS	ARMDEPTHCHARGE			VTOL	VTOL	NOTSUB	1									425					VTOL										1																																																																	
ReImagined HPI Compile\ReIm_Units\ARMCS.UNITINFO	ARMCS	1	ARM	ARMCS	ARM-CS1	Construction Ship	Tech Level 1	4	4	2130	255	1105			0.1	5121	125	1	1	1	1	0	224	0	ARM_CSHIP	50	50	SMALL_UNITEX	SMALL_UNIT	ARM SHIP LEVEL1 CONSTR NOWEAPON NOTAIR NOTSUB CTRL_B	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		armcs_dead	Konstr.-Schiff	Tech Level 1	24	Navire de construction	Niveau Tech 1			1	1	1	1	1	Buque de Constr.	Nivel Tecn. 1	Nave Costruttrice	Tecnologia Livello 1	1	1	2.1	0.04	0.009	200	1	1		7	Standby	640	BOATS4	15										1				60	1	0.3			0																																																																																
ReImagined HPI Compile\ReIm_Units\Armcsa.UNITINFO	ARMCSA	1	ARM	ARMCSA	ARM-WCA3	Construction Seaplane	Tech Level 1	2	2	5368	115	170	0	10	0.1	10870	50	1	1	1	1	0	280	0	ARM_CVTOL	50	50	SMALL_UNITEX	SMALL_UNIT	ARM VTOL CTRL_V LEVEL1 CONSTR NOWEAPON  NOTSUB CTRL_B	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Bau-Wasserflugzeug	Tech Level 1	18	Hydravion de construction	Niveau Tech 1			1	1	1	1	1	Hidroavión de Construcción	Nivel Tecn. 1	Idrovolante da costruzione	Tecnologia Livello 1	1	1	6.5	1.5	0.05	120	1	1	0.8	12	VTOL_standby	1280													1	70	1.5	40	1	0.3																																											255	1																																							
ReImagined HPI Compile\ReIm_Units\ARMCV.UNITINFO	ARMCV	1	ARM	ARMCV	ARM-CV1	Construction Vehicle	Tech Level 1	3	3	2030	185	870	18	16	0.1	4951	100	1	1	1	1	0	195	0	ARM_CVEHICLE	50	50	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL1 CONSTR NOWEAPON NOTAIR NOTSUB CTRL_B	CNSTR	Copyright 1997 Humongous Entertainment. All rights reserved.		armcv_dead	Konstr.-Fahrzeug	Tech Level 1	25	Véhicule de construction 	Niveau Tech 1			1	1	1	1	1	Vehículo de Constr.	Nivel Tecn. 1	Veicolo Costruttore	Tecnologia Livello 1	1	1	1.4	0.08	0.015	250	1	1		9	Standby	640	TANKSH3															40	1	0.25																																																																																			
ReImagined HPI Compile\ReIm_Units\ARMDECOM.UNITINFO	ARMDECOM	1.2	ARM	ARMDECOM	ARM-DWM	Decoy Commander	Decoy Commander	2	2	11561	721	1420	35	20	0	24048	30	1	1	1	1		290	0	ARM_COM			DECOY_COMMANDER_BLAST	DECOY_COMMANDER_BLAST	ARM WEAPON NOTAIR NOTSUB CTRL_W	COMMANDER	Copyright 1997 Humongous Entertainment. All rights reserved.			Commander-Double	Commander-Double	232	Commandeur Appât	Commandeur Appât	1	2	1	0	1	1	1	Comandante Señuelo	Comandante Señuelo	Comandante Esca	Comandante Esca		1	1.2	0.3	0.15	1044	2	1			Standby	640	TANKDS2			1	ARMCOMLASER			1	VTOL	VTOL						60	1		1							VTOL						limit ARMDECOM 2				1																				1			1																																										
ReImagined HPI Compile\ReIm_Units\ARMDEV1.UNITINFO	ARMDEV1	1.2	ARM	ARMDEV1	DEDEV	Implosion Device	Implosion Device	8	8	132500	8545	4110	0	10	0	732958	0	0	0	1	1	0	210	0	CORE_ESTOR	0	0	NUCLEAR_MISSILE	NUCLEAR_MISSILE	ARM LEVEL2 DEV NOWEAPON NOTAIR NOTSUB 	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	oooooooo		Implosions-Sprengsatz	Implosions-Sprengsatz	290	Bombe Galactique	Bombe Galactique								Dispositivo de Implosión	Dispositivo de Implosión	Dispositivo di implosione	Dispositivo di implosione																				1																												1												armdev1_dead	1																																																				
ReImagined HPI Compile\ReIm_Units\ARMDRAG.UNITINFO	ARMDRAG	1	ARM	ARMDRAG	A-102-C	Dragon's Teeth	Perimeter Defense	2	2	250	10	3500	0	32	0	520	0	0	0	1	1	0	100	0	NONE	0	0			ARM METAL LEVEL2 NOWEAPON NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	f	DragonsTeeth	Panzersperre	Palisadenanlage	26	Dent de dragon	Périmètre de défense								Dragon's Teeth	Defensa de perímetro	Denti del Drago	Difesa perimetrale	1									0					8192																																																												1																																						
ReImagined HPI Compile\ReIm_Units\ARMEMP.UNITINFO	ARMEMP	1.2	ARM	ARMEMP	ARM-MIDS	Stunner	EMP Missile Launcher	4	4	52134	1802	2300	0	10	0	111453	0	0	0	1	1	0	350	0	NUC	0	0	ATOMIC_BLASTSML	NUCLEAR_MISSILE	ARM SPECIAL WEAPON LEVEL3 NOTAIR NOTSUB 	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armemp_dead	Stunner	EMP Raketenwerfer	322	Aveugleur	Lance-Missiles électromagnétiques	1	0					1	Stunner	Lanzador de Misiles EMP	Storditore	Lanciamissili EMP	1							1		0					8192	1	ARMEMP_WEAPON			1	VTOL	VTOL																																																																																											
ReImagined HPI Compile\ReIm_Units\ARMESTOR.UNITINFO	ARMESTOR	1	ARM	ARMESTOR	AE-ESF	Energy Storage	Increases Energy Storage	4	4	2430	240	1000	0	10	0	12710	0	0	0	1	1	0	210	0	ARM_ESTOR	3000	0	ESTOR_BUILDINGEX	CRAWL_BLASTSML	ARM ENERGY LEVEL1 NOWEAPON  NOTAIR NOTSUB STORAGE	ENERGY	Copyright 1997 Humongous Entertainment. All rights reserved.	o	armestor_dead	Energiespeicher	Vergrößert Lager für Energievorräte	27	Dépôt d'énergie	Augmente le stockage d'énergie								Almacén de Energía	Incrementa capacidad de alm.energía	Deposito Energetico	Aumenta l'immagazzinamento di energia	1														4096																																	1																																																																	
ReImagined HPI Compile\ReIm_Units\ARMFARK.UNITINFO	ARMFARK	1.2	ARM	ARMFARK	ARM-MED	FARK	Fast Assist-Repair Kbot	2	2	3219	480	830	22	14	0.4	7931	180	1	1	1	1	0	290	0	ARM_KBOT	0	0	BIG_UNITEX	BIG_UNIT	ARM KBOT LEVEL2 CONSTR NOWEAPON NOTAIR NOTSUB CTRL_B	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armfark_dead	Medic	Schnelle Reparatureinheit	244	Mécano	Kbot de réparations d'urgence			1	1	1	1	1	Médico	Kbot de Reparación Rápida	Medico	Unità riparatrice	1	1	2.1	0.6	0.18	1010	1	1		17	Standby	640	TANKSH2							1								60	1	0.5	1	1																																																																																	
ReImagined HPI Compile\ReIm_Units\ARMFAST.UNITINFO	ARMFAST	1	ARM	ARMFAST	ARM-KS	Zipper	Fast Attack Kbot	2	2	2221	151	550	12	17	0.4	6768	0	1	0	1	1	0	263	0	ARM_KBOT	0	0	SMALL_UNITEX	SMALL_UNIT	ARM KBOT LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armfast_dead	Zipper	Schneller Angriffs-Kbot	28	Eclair	Kbot d'intervention rapide	1	2	1	1	1	1	1	Zipper	Kbot de ataque rápido	Zipper	Kbot veloce da attacco	1	1	2.53	0.25	0.14	1300	2	1		0.4	Standby	640	KBOTSF2			1	ARM_FAST				VTOL	VTOL									1							VTOL																																																																											
ReImagined HPI Compile\ReIm_Units\ARMFAV.UNITINFO	ARMFAV	1	ARM	ARMFAV	ARM-FAV1	Jeffy	Fast Attack Vehicle	2	2	564	37	79	12	18	0.2	1465	0	1	0	1	1	0	310	0	ARM_VEHICLE	0	0	SMALL_UNITEX	SMALL_UNIT	ARM TANK LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armfav_dead	Jeffy	Schnelles Angriffs-Fahrzeug	29	Rapido	Véhicule d'attaque rapide	1	2	1	1	1	1	1	Jeffy	Vehículo de ataque rápido	Jeffy	Veicolo veloce da attacco	1	1	3	0.06	0.04	499	1	1		0.2	Standby	640	TANKSH2			1	ARM_LASER				VTOL	VTOL																VTOL																																						Effyjay	Jeffysan	Astfay attackay Outingscay Ehiclevay																																			
ReImagined HPI Compile\ReIm_Units\ARMFDRAG.UNITINFO	ARMFDRAG	1.2	ARM	ARMFDRAG	A-F24-C	Floating Dragon's Teeth	Floating Dragon's Teeth	2	2	600	20	3500	0	32	0	930	0	0	0	1	1	0	100	0	NONE	0	0			ARM LEVEL2 NOWEAPON NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	w	FloatingTeeth	Marine-Barrikade	Schwimmende Barrikade	166	Dent de dragon navale	Dent de dragon flottante								Dragon's Teeth		Denti del Drago-SN											0				1	8192					1																Dragon's Teeth flotante	Denti del Drago galleggiante															6																							1																																						
ReImagined HPI Compile\ReIm_Units\ARMFHLT.UNITINFO	ARMFHLT	1.2	ARM	ARMFHLT	ARM-FHL	Stingray	Floating Heavy Laser Tower	4	4	5796	524	1325			0.1	10178	0	0	0	1	1	0	380	0	ARM_KBOT	200	0	BIG_UNITEX	BIG_UNIT	ARM SPECIAL LEVEL2 WEAPON NOTAIR NOTSUB 	WATER	Copyright 1997 Humongous Entertainment. All rights reserved.	wwwwwwwww	armfhlt_dead	Stingray	Schwimmender Schwerer Laser	177	Stingray	Tourelle laser lourde NAVY	1	2					1	Stingray	Torre láser pesada-Serie Naval	Stingray	Torretta Laser pesante galleggiante								1			GUARD_NOMOVE			2	16384	1	ARMFHLT_LASER			1	VTOL	VTOL												3										limit ARMFHLT 6				1			1																																																														
ReImagined HPI Compile\ReIm_Units\ARMFIDO.UNITINFO	ARMFIDO	1	ARM	ARMFIDO	ARM-KG	Fido	Assault Kbot	2	2	3556	398	1000	12	14	0.8	10827	0	1	0	1	1	0	245	0	ARM_KBOT	0	0	BIG_UNITEX	BIG_UNIT	ARM KBOT LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armfido_dead	Fido	Gefechts-Kbot	30	Fido	Kbot d'assaut	1	2	1	1	1	1	1	Fido	Kbot de asalto	Fido	Kbot da assalto	1	1	1.75	0.3	0.1	900	2	1		0.8	Standby	640	TANKSH2			1	GAUSS				VTOL	VTOL									0							VTOL																																																																											
ReImagined HPI Compile\ReIm_Units\ARMFIG.UNITINFO	ARMFIG	1	ARM	ARMFIG	AFD-J9	Freedom Fighter	Fighter	2	2	3234	99	196	0	10	0.7	9182	0	1		1	1	0	350	0	ARM_VTOL	0	0	SMALL_UNITEX	SMALL_UNIT	ARM VTOL CTRL_V LEVEL1 WEAPON  NOTSUB CTRL_W CTRL_P	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Freedom Fighter	Jäger	31	Libérator	Chasseur	1	2	1	1	1	1	1	Freedom Fighter	Caza	Freedom Fighter	Caccia	1	1	10	6	0.35	512	1	1		0.7	VTOL_standby	1280				1	ARMVTOL_MISSILE				NOTAIR	NOTAIR			1	110	1						0																																								255						8																																		
ReImagined HPI Compile\ReIm_Units\ARMFLAK.UNITINFO	ARMFLAK	1.2	ARM	ARMFLAK	ARM-AAHE	Flakker	Anti-Air Flak Gun	2	2	17425	1069	1524	0	10	0	38010	0	0	0	1	1	0	350	0	GUARD	0	0	LARGE_BUILDINGEX	MEDIUM_BUILDING	ARM LEVEL3 strategic weapon NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armflak_dead	Flakker	Flak	160	Casseur	Canon antiaérien	1	2					1	Flakker	Arma de fuego antiaéreo	Flakker	Cannone per bersagli aerei								1			GUARD_NOMOVE				8192	1	ARMFLAK_GUN			1	NOTAIR	NOTAIR																					weight ARMFLAK 0.5	limit ARMFLAK 20																																																																					
ReImagined HPI Compile\ReIm_Units\ARMFLASH.UNITINFO	ARMFLASH	1	ARM	ARMFLASH	FAT3	Flash	Fast Assault Tank	2	2	870	106	625	12	10	0.5	1676	0	1	0	1	1	0	225	0	ARM_TANK	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armflash_dead	Flash	Schneller Gefechtspanzer	32	Foudrax	Char d'assaut rapide	1	2	1	1	1	1	1	Flash	Tanque de asalto rápido	Flash	Carro armato veloce da assalto	1	1	2	0.02	0.017	475	1	1		0.5	Standby	640	TANKSH2			1	EMG				VTOL	VTOL																VTOL																																																																											
ReImagined HPI Compile\ReIm_Units\ARMFLEA.UNITINFO	ARMFLEA	1.2	ARM	ARMFLEA	ARM-KS	Flea	Fast Light Scout Kbot	2	2	712	44	75	0	32	0.4	2013	0	1	0	1	1	0	263	0	ARM_KBOT	0	0	SMALL_UNITEX	SMALL_UNIT	ARM KBOT LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armflea_dead	Flea	Leichter Aufklärungs-Kbot	301	Puce	Kbot léger de reco	1	2	1	1	1	1	1	Pulga	Kbot explorador ligero	Pulce	Kbot esploratore leggero	1	1	3	0.25	0.14	1300	2	1		0.4	Standby	640	KBOTSS2			1	ARMFLEA_WEAPON			1	VTOL	VTOL									1							VTOL																																																																											
ReImagined HPI Compile\ReIm_Units\ARMFMKR.UNITINFO	ARMFMKR	1.2	ARM	ARMFMKR	ARM-MRJ	Floating Metal Maker	Floating Metal Maker	3	3	1480		110	0	10	60	2958	0	0	0	1	1	0	210	0	ARM_MAKER	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	ARM METAL LEVEL2 NOWEAPON NOTAIR NOTSUB 	METAL	Copyright 1997 Humongous Entertainment. All rights reserved.	w		Schwimmschmelze	Schwimmende Metallherstellung	178	Métallo flottant	Convertisseur d'énergie en métal flottant								Productor de Metal - SN	Produce metal	Generatore di Metallo - SN	Fabbrica metalli														11						1																									1			1	1			4																												8192	1																																
ReImagined HPI Compile\ReIm_Units\ARMFORT.UNITINFO	ARMFORT	1.2	ARM	ARMFORT	A-102-C	Fortification Wall	Perimeter Defense	2	2	675	27	2000	0	8	0	965	0	0	0	1	1	0	100	0	NONE	0	0			ARM METAL LEVEL2 NOWEAPON NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	f	fortification	Befestigung	Befestigungsmauern	167	Mur de fortification	Périmètre de défense								Defensa	Defensa de perímetro	Fortificazioni	Mura fortificate										0					0					1																																																							1																																						
ReImagined HPI Compile\ReIm_Units\ARMFRT.UNITINFO	ARMFRT	1.2	ARM	ARMFRT	AS-TDS	Defender - NS	Missile Tower - Naval Series	4	4	987	71	252			0.1	2163	0	0	0	1	1	0	360	0	ARM_KBOT	0	0	BIG_UNITEX	BIG_UNIT	ARM SPECIAL LEVEL2 WEAPON NOTAIR NOTSUB 	WATER	Copyright 1997 Humongous Entertainment. All rights reserved.	wwwwwwwww	armfrt_dead	Defender-NS	Raketenturm - Marineeinheit	158	Défensor NAVY	Tourelle lance-missiles NAVY	1	2					1	Defender-SN	Torre Lanzamisiles-Serie Naval	Defender-SN	Torretta missilistica - Sezione Navale								1			GUARD_NOMOVE			2	16384	1	ARMRL_MISSILE			1	NOTAIR	NOTAIR												0.3														1			1																																																														
ReImagined HPI Compile\ReIm_Units\ARMFUS.UNITINFO	ARMFUS	1	ARM	ARMFUS	AE-FPF	Fusion Reactor	Produces Energy	5	4	36058	5130	3100	0	10	0	93768	0	0	0	1	1	0	210	0	ARM_FUS	0	0	ATOMIC_BLAST	NUCLEAR_MISSILE	ARM ENERGY LEVEL3 NOWEAPON NOTAIR NOTSUB 	ENERGY	Copyright 1997 Humongous Entertainment. All rights reserved.	oooooooooooooooooooo	armfus_dead	Fusionreaktor	Liefert Energie	33	Réacteur nucléaire	Produit de l'énergie								Reactor de Fusión	Genera energía	Reattore a Fusione	Produce energia	1									1000					4096																																	1																																																																	
ReImagined HPI Compile\ReIm_Units\ARMGATE.UNITINFO	ARMGATE	1	ARM	ARMGATE	ARM-GG	Galactic Gate	Space Teleporter	4	4	1865294	213965	2876	0	10	3000	3742578	0	0	0	1	1	0	210	0	GATE	0	0	ATOMIC_BLAST	ATOMIC_BLAST	ARM SPECIAL NOWEAPON NOTAIR NOTSUB 	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	oooo	armgate_dead	Galaxistor	Weltraum-Teleporter	34	Téléporteur	Téléporteur spatial								Puerta Galáctica	Teletransportador espacial	Cancello Galattico	Teletrasporto spaziale	1														2048																																														1																					1																															
ReImagined HPI Compile\ReIm_Units\ARMGEO.UNITINFO	ARMGEO	1	ARM	ARMGEO	AE-GPG	Geothermal Powerplant	Produces Energy	4	4	9568	520	880	0	10	0	13078	0	0	0	1	1	0	210	0	ARM_GEO	0	0	LARGE_BUILDINGEX	NUCLEAR_MISSILE	ARM ENERGY LEVEL2 NOWEAPON NOTAIR NOTSUB 	ENERGY	Copyright 1997 Humongous Entertainment. All rights reserved.	GGGGGGGGGGGGGGGG	armgeo_dead	Geotherm. Kraftwerk	Liefert Energie	35	Centrale géothermique	Produit de l'énergie								Planta Geotérmica	Genera energía	Stabilimento Geotermico	Produce energia	1									250					2048																																	1																																																																	
ReImagined HPI Compile\ReIm_Units\ARMGUARD.UNITINFO	ARMGUARD	1	ARM	ARMGUARD	ARM-GUARD	Guardian	Plasma Battery	3	3	7687	1946	2477	0	10	0	13377	0	0	0	1	1	0	350	0	GUARD	200	0	MEDIUM_BUILDINGEX	MEDIUM_BUILDING	ARM LEVEL2 strategic weapon NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	oooo	armguard_dead	Guardian	Stationäre Plasmawerfer-Batterie	36	Gardian	Batterie à plasma stationnaire	1	2					1	Guardian	Cañón de plasma pesado	Guardian	Batteria al plasma	1							1			GUARD_NOMOVE				8192	1	ARMFIXED_GUN				VTOL	VTOL																																																																																											
ReImagined HPI Compile\ReIm_Units\ARMHAM.UNITINFO	ARMHAM	1	ARM	ARMHAM	ARM-KA	Hammer	Artillery Kbot	2	2	1187	151	800	12	14	0.6	2340	0	1	0	1	1	0	250	0	ARM_KBOT	0	0	BIG_UNITEX	BIG_UNIT	ARM KBOT LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armham_dead	Hammer	Artillerie-Kbot	37	Massue	Artillerie Kbot	1	2	1	1	1	1	1	Hammer	Kbot de artillería	Hammer	Kbot da artilglieria	1	1	1.1	0.183105469	0.1	995	2	1		0.6	Standby	640	TANKSH2			1	ARM_HAM				VTOL	VTOL									1							VTOL																																																																											
ReImagined HPI Compile\ReIm_Units\ARMHAWK.UNITINFO	ARMHAWK	1	ARM	ARMHAWK	AFD-J9	Hawk	Stealth Fighter	2	2	6893	254	510	0	10	20	15285		1		1	1		350	0	ARM_VTOL			BIG_UNITEX	BIG_UNIT	ARM VTOL CTRL_V LEVEL2 WEAPON STEALTH  NOTSUB CTRL_W CTRL_P	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Hawk	Stealth-Jäger	38	Vautour	Chasseur furtif	1	2	1	1	1	1	1	Hawk	Caza antirradar	Hawk	Caccia Stealth	1	1	12	9	0.45	820	1	1		20	VTOL_standby	1280				1	ARMVTOL_ADVMISSILE	ARMVTOL_ADVMISSILE2			NOTAIR	NOTAIR	NOTAIR		1	160	1																																																				8				1																														
ReImagined HPI Compile\ReIm_Units\ARMHLT.UNITINFO	ARMHLT	1	ARM	ARMHLT	ARM-HLT	Sentinel	Heavy Laser Tower	2	2	5398	584	1230	0	10	0	9575	0	0	0	1	1	0	380	0	HLT	200	0	MEDIUM_BUILDINGEX	MEDIUM_BUILDING	ARM defensive weapon level2 NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	oooo	armhlt_dead	Tenderizer	Schwerer Laserturm	39	Mutilator	Tourelle laser lourde	1	2					1	Sentinel	Torre láser pesada	Sentinel	Torretta laser pesante	1							1			GUARD_NOMOVE				8192	1	ARM_LASERH1				VTOL	VTOL																																																																																											
ReImagined HPI Compile\ReIm_Units\ARMHP.UNITINFO	ARMHP	1.2	ARM	ARMHP	ARM-H	Hovercraft Platform	Builds Hovercraft	8	7	5277	2007	3005	0	10	0	18520	200	0	1	1	1	0	220	0	ARM_HOVER_PLANT	200	200	LARGE_BUILDINGEX	LARGE_BUILDING	ARM PLANT LEVEL2 NOWEAPON NOTAIR NOTSUB CTRL_F	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooccccoo ooccccoo ooccccoo ooccccoo ooccccoo ooccccoo ooccccoo	armhp_dead	Hovercraft-Plattform	Baut Hovercrafts	179	Plate-forme de construction	Construit des Hovercrafts	1	2	1	1	1	1	1	Plataforma Hovercraft	Construye hovercrafts	Piattaforma Hovercraft	Costruisce Hovercraft																				1																																																																																													
ReImagined HPI Compile\ReIm_Units\ARMJAM.UNITINFO	ARMJAM	1	ARM	ARMJAM	ARM-MRJ	Jammer	Mobile Radar Jammer	2	2	1621	97	460	0	16	16	5933	0	1	0	1	1	0	240		ARM_JAM	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK NOWEAPON JAM LEVEL2 NOTAIR NOTSUB CTRL_R	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armjam_dead	Jammer	Mobiler Radarstörer	40	Escorteur	Brouilleur de radar			1	1	1	1	1	Jammer	Distorsionador móvil de radar	Disturbatore	Crea interferenze radar - mobile	1	1	1	0.012	0.035	505	1	1		16	Standby	640	TANKSH2																																			1	1	400																																																															
