	COMMON.id	COMMON.assoc	COMMON.name	COMMON.xpos	COMMON.ypos	COMMON.width	COMMON.height	COMMON.attribs	COMMON.colorf	COMMON.colorb	COMMON.texturenumber	COMMON.fontnumber	COMMON.active	COMMON.commonattribs	COMMON.help	totalgadgets	VERSION.major	VERSION.minor	VERSION.revision	panel	crdefault	escdefault	defaultfocus	hotornot	text	status	quickkey	grayedout	stages	range	thick	knobpos	knobsize	filename	link	crtdefault	maxchars	itemheight
ReImagined HPI Compile\ReIm_GUIs\ARMGEN.GADGET1	7	0	ARMFONT	0	0	0	0	0	0	0	0	0	1	0																				armbutt				
ReImagined HPI Compile\ReIm_GUIs\ARMGEN.GADGET2	1	8	ARMORDERS	3	4	59	19	16	15	0	0	0	1	0													111											
ReImagined HPI Compile\ReIm_GUIs\ARMGEN.GADGET3	1	8	ARMBUILD	65	4	59	19	16	15	0	0	0	1	0													98											
ReImagined HPI Compile\ReIm_GUIs\ARMGEN.GADGET4	1	1	ARMMOVE	5	247	55	31	64	15	0	0	0	1	0													109											
ReImagined HPI Compile\ReIm_GUIs\ARMGEN.GADGET5	1	1	ARMSTOP	64	247	55	31	0	15	0	0	0	1	0													115											
ReImagined HPI Compile\ReIm_GUIs\ARMGEN.GADGET6	1	1	ARMPATROL	64	282	55	31	64	15	0	0	0	1	0													112											
ReImagined HPI Compile\ReIm_GUIs\ARMGEN.GADGET7	1	1	ARMATTACK	5	317	55	31	64	15	0	0	0	1	0													97											
ReImagined HPI Compile\ReIm_GUIs\ARMGEN.GADGET8	1	1	ARMDEFEND	5	282	55	31	64	15	0	0	0	1	0													103											
ReImagined HPI Compile\ReIm_GUIs\ARMGEN.GADGET9	1	0	ARMFIREORD	6	35	113	20	256	15	0	0	0	1	0													102											
ReImagined HPI Compile\ReIm_GUIs\ARMGEN.GADGET10	1	0	ARMMOVEORD	6	59	113	20	25	15	0	0	0	1	0													118											
ReImagined HPI Compile\ReIm_GUIs\ARMGEN.GADGET11	1	0	ARMONOFF	6	92	113	20	256	15	0	0	0	1	0													120											
ReImagined HPI Compile\ReIm_GUIs\ARMGEN.GADGET12	1	1	ARMCAPTURE	64	207	55	31	64	15	0	0	0	1	0													99											
ReImagined HPI Compile\ReIm_GUIs\ARMGEN.GADGET13	1	1	ARMRECLAIM	5	172	55	31	64	15	0	0	0	1	0													101											
ReImagined HPI Compile\ReIm_GUIs\ARMGEN.GADGET14	1	1	ARMREPAIR	5	207	55	31	64	15	0	0	0	1	0													114											
ReImagined HPI Compile\ReIm_GUIs\ARMGEN.GADGET15	1	1	ARMLOAD	64	317	55	31	64	15	0	0	0	1	0													108											
ReImagined HPI Compile\ReIm_GUIs\ARMGEN.GADGET16	1	0	ARMCLOAK	6	116	113	20	256	15	0	0	0	1	0													107											
ReImagined HPI Compile\ReIm_GUIs\ARMGEN.GADGET17	1	1	ARMBLAST	64	317	55	31	64	15	0	0	0	1	0													100											
ReImagined HPI Compile\ReIm_GUIs\ARMGEN.GADGET18	1	1	ARMUNLOAD	64	172	55	31	64	15	0	0	0	1	0													117											
ReImagined HPI Compile\ReIm_GUIs\Armhp1.GADGET0	0	0	HEADER	0	128	128	352	0	0	0	0	0	1	0		17	1	0	0	ARMPAN																		
ReImagined HPI Compile\ReIm_GUIs\Armhp1.GADGET1	7	0	ARMFONT	0	0	0	0	0	0	0	0	0	1	0																				armbutt				
ReImagined HPI Compile\ReIm_GUIs\Armhp1.GADGET2	1	0	ARMORDERS	3	4	59	19	16	15	0	0	0	1	0												0	111											
ReImagined HPI Compile\ReIm_GUIs\Armhp1.GADGET3	1	0	ARMBUILD	65	4	59	19	16	15	0	0	0	1	0												0	98	0										
ReImagined HPI Compile\ReIm_GUIs\Armhp1.GADGET4	1	1	ARMMOVE	5	247	55	31	64	15	0	0	0	1	0												0	77											
ReImagined HPI Compile\ReIm_GUIs\Armhp1.GADGET5	1	1	ARMSTOP	64	247	55	31	0	15	0	0	0	1	0												0	83											
ReImagined HPI Compile\ReIm_GUIs\Armhp1.GADGET6	1	1	ARMPATROL	64	282	55	31	64	15	0	0	0	1	0												0	80											
ReImagined HPI Compile\ReIm_GUIs\Armhp1.GADGET7	1	77	ARMAH	64	91	64	64	32	15	0	0	0	1	4												0	0											
ReImagined HPI Compile\ReIm_GUIs\Armhp1.GADGET8	1	77	ARMMH	0	155	64	64	32	15	0	0	0	1	4												0	0											
ReImagined HPI Compile\ReIm_GUIs\Armhp1.GADGET9	1	77	ARMTHOVR	64	155	64	64	32	15	0	0	0	1	4												0	0											
ReImagined HPI Compile\ReIm_GUIs\Armhp1.GADGET26	1	1	ARMATTACK	5	317	55	31	64	15	0	0	0	1	0												0	65											
ReImagined HPI Compile\ReIm_GUIs\Armhp1.GADGET27	1	1	ARMDEFEND	5	282	55	31	64	15	0	0	0	1	0												0	103											
ReImagined HPI Compile\ReIm_GUIs\Armhp1.GADGET17	1	1	ARMBLAST	64	317	55	31	64	15	0	0	0	1	0													100											
ReImagined HPI Compile\ReIm_GUIs\ARMLAB1.GADGET0	0	0	HEADER	0	128	128	352	0	0	0	0	0	1	0		17	1	0	0	ARMPAN																		
ReImagined HPI Compile\ReIm_GUIs\ARMLAB1.GADGET1	7	0	ARMFONT	0	0	0	0	0	0	0	0	0	1	0																				armbutt				
ReImagined HPI Compile\ReIm_GUIs\ARMLAB1.GADGET2	1	0	ARMORDERS	3	4	59	19	16	15	0	0	0	1	0												0	111											
ReImagined HPI Compile\ReIm_GUIs\ARMLAB1.GADGET3	1	0	ARMBUILD	65	4	59	19	16	15	0	0	0	1	0												0	98	0										
ReImagined HPI Compile\ReIm_GUIs\ARMLAB1.GADGET4	1	1	ARMMOVE	5	247	55	31	64	15	0	0	0	1	0												0	77											
ReImagined HPI Compile\ReIm_GUIs\ARMLAB1.GADGET5	1	1	ARMSTOP	64	247	55	31	0	15	0	0	0	1	0												0	83											
ReImagined HPI Compile\ReIm_GUIs\ARMLAB1.GADGET6	1	1	ARMPATROL	64	282	55	31	64	15	0	0	0	1	0												0	80											
ReImagined HPI Compile\ReIm_GUIs\ARMLAB1.GADGET7	1	77	ARMHAM	64	91	64	64	32	15	0	0	0	1	4												0	0											
ReImagined HPI Compile\ReIm_GUIs\ARMLAB1.GADGET8	1	77	ARMJETH	0	155	64	64	32	15	0	0	0	1	4												0	0											
ReImagined HPI Compile\ReIm_GUIs\ARMLAB1.GADGET9	1	0	IGPATCH	64	155	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI Compile\ReIm_GUIs\ARMLAB1.GADGET26	1	1	ARMATTACK	5	317	55	31	64	15	0	0	0	1	0												0	65											
ReImagined HPI Compile\ReIm_GUIs\ARMLAB1.GADGET27	1	1	ARMDEFEND	5	282	55	31	64	15	0	0	0	1	0												0	103											
ReImagined HPI Compile\ReIm_GUIs\ARMLAB1.GADGET17	1	1	ARMBLAST	64	317	55	31	64	15	0	0	0	1	0													100											
ReImagined HPI Compile\ReIm_GUIs\ARMMAIN.GADGET0	0	0	HEADER	0	128	128	352	0	0	0	0	0	1	0		6	1	0	0	ARMPAN2																		
ReImagined HPI Compile\ReIm_GUIs\ARMMAIN.GADGET1	1	78	OPTIONS	5	283	115	40	2	15	0	0	0	1	0											Options Menu		O											
ReImagined HPI Compile\ReIm_GUIs\ARMMAIN.GADGET2	5	168	KILLS	14	13	92	16	2	15	0	103	0	1	54																								
ReImagined HPI Compile\ReIm_GUIs\ARMMAIN.GADGET3	5	0	LOSSES	14	34	82	12	2	15	0	0	0	1	0																								
ReImagined HPI Compile\ReIm_GUIs\ARMMAIN.GADGET4	5	0	TOTALUNITS	14	55	82	12	2	15	0	0	0	1	0																								
ReImagined HPI Compile\ReIm_GUIs\ARMMAIN.GADGET5	1	243	SHARE	5	228	115	40	2	15	0	0	0	1	0											Share	0	83	0										
ReImagined HPI Compile\ReIm_GUIs\ARMMAIN.GADGET6	1	0	ALLIES	5	119	115	40	2	15	0	0	0	1	100											Allies	0	A	0										
ReImagined HPI Compile\ReIm_GUIs\ARMMAIN2.GADGET0	0	0	HEADER	0	128	128	352	0	0	0	0	0	1	0		3	1	0	0	ARMPAN2																		
ReImagined HPI Compile\ReIm_GUIs\ARMMAIN2.GADGET1	5	168	KILLS	14	13	92	16	2	15	0	103	0	1	54																								
ReImagined HPI Compile\ReIm_GUIs\ARMMAIN2.GADGET2	5	0	LOSSES	14	34	82	12	2	15	0	0	0	1	0																								
ReImagined HPI Compile\ReIm_GUIs\ARMMAIN2.GADGET3	5	0	TOTALUNITS	14	55	82	12	2	15	0	0	0	1	0																								
ReImagined HPI Compile\ReIm_GUIs\Armmlv1.GADGET0	0	0	HEADER	0	128	128	352	0	0	0	0	0	1	0		17	1	0	0	ARMPAN																		
ReImagined HPI Compile\ReIm_GUIs\Armmlv1.GADGET1	7	0	ARMBUTT	0	0	0	0	0	0	0	0	0	1	0																				armbutt				
ReImagined HPI Compile\ReIm_GUIs\Armmlv1.GADGET2	1	0	ARMORDERS	3	4	59	19	16	15	0	0	0	1	0												0	111	0										
ReImagined HPI Compile\ReIm_GUIs\Armmlv1.GADGET3	1	0	ARMBUILD	65	4	59	19	16	15	0	0	0	1	0												0	98	0										
ReImagined HPI Compile\ReIm_GUIs\Armmlv1.GADGET4	1	1	ARMMOVE	5	247	55	31	64	15	0	0	0	1	0												0	77	0										
ReImagined HPI Compile\ReIm_GUIs\Armmlv1.GADGET5	1	1	ARMSTOP	64	247	55	31	0	15	0	0	0	1	0												0	83	0										
ReImagined HPI Compile\ReIm_GUIs\Armmlv1.GADGET6	1	1	ARMPATROL	64	282	55	31	64	15	0	0	0	1	0												0	80	0										
ReImagined HPI Compile\ReIm_GUIs\Armmlv1.GADGET7	1	77	ARMMINE4	64	91	64	64	32	15	0	0	0	1	4												0	0											
ReImagined HPI Compile\ReIm_GUIs\Armmlv1.GADGET8	1	77	ARMMINE5	0	155	64	64	32	15	0	0	0	1	4												0	0											
ReImagined HPI Compile\ReIm_GUIs\Armmlv1.GADGET9	1	77	ARMMINE6	64	155	64	64	32	15	0	0	0	1	4												0	0											
ReImagined HPI Compile\ReIm_GUIs\Armmlv1.GADGET26	1	1	ARMATTACK	5	317	55	31	64	15	0	0	0	1	0												0	65											
ReImagined HPI Compile\ReIm_GUIs\Armmlv1.GADGET27	1	1	ARMDEFEND	5	282	55	31	64	15	0	0	0	1	0												0	103											
ReImagined HPI Compile\ReIm_GUIs\Armmlv1.GADGET17	1	1	ARMBLAST	64	317	55	31	64	15	0	0	0	1	0													100											
ReImagined HPI Compile\ReIm_GUIs\ARMOPT.GADGET0	0	205	armopt.GUI	0	128	128	352	52685	52685	52685	0	-51	1	-51		9	-51	-51	-51		OK	OK	OK															
ReImagined HPI Compile\ReIm_GUIs\ARMOPT.GADGET1	12	0	OPTBG	0	0	128	362	0	0	0	0	0	1	0																								
ReImagined HPI Compile\ReIm_GUIs\ARMOPT.GADGET2	1	78	OK	14	291	96	31	2	0	0	0	0	1	-11											Resume	0	82	0	0									
ReImagined HPI Compile\ReIm_GUIs\ARMOPT.GADGET3	1	243	SAVEGAME	13	64	96	31	2	0	0	0	0	1	0											Save Game	0	83	0	0									
ReImagined HPI Compile\ReIm_GUIs\ARMOPT.GADGET4	1	243	PREFS	13	105	96	31	2	0	0	0	0	1	0											Options	0	79	0	0									
ReImagined HPI Compile\ReIm_GUIs\ARMOPT.GADGET5	1	243	EXIT	13	231	96	31	2	0	0	0	0	1	0											Exit	0	69	0	0									
ReImagined HPI Compile\ReIm_GUIs\ARMOPT.GADGET6	5	243	TEXT	161	140	89	19	18	15	0	0	0	1	0											GAME OPTIONS													
ReImagined HPI Compile\ReIm_GUIs\ARMOPT.GADGET7	1	243	MISSION	13	147	96	31	2	0	0	0	0	1	0											Briefing	0	66	0	0									
ReImagined HPI Compile\ReIm_GUIs\ARMOPT.GADGET8	1	243	LOADGAME	13	22	96	31	2	0	0	0	0	1	0											Load Game	0	76	0	0									
ReImagined HPI Compile\ReIm_GUIs\ARMOPT.GADGET9	1	243	HELP	13	189	96	31	2	0	0	0	0	1	0											Help	0	0	0	0									
ReImagined HPI Compile\ReIm_GUIs\ARMPLAT1.GADGET0	0	0	HEADER	0	128	128	352	0	0	0	0	0	1	0		17	1	0	0	ARMPAN																		
ReImagined HPI Compile\ReIm_GUIs\ARMPLAT1.GADGET1	7	0	ARMBUTT	0	0	0	0	0	0	0	0	0	1	0																				armbutt				
ReImagined HPI Compile\ReIm_GUIs\ARMPLAT1.GADGET2	1	1	ARMMOVE	5	247	55	31	64	15	0	0	0	1	0												0	77	0										
ReImagined HPI Compile\ReIm_GUIs\ARMPLAT1.GADGET3	1	1	ARMSTOP	64	247	55	31	0	15	0	0	0	1	0												0	83	0										
ReImagined HPI Compile\ReIm_GUIs\ARMPLAT1.GADGET4	1	1	ARMPATROL	64	282	55	31	64	15	0	0	0	1	0												0	80	0										
ReImagined HPI Compile\ReIm_GUIs\ARMPLAT1.GADGET5	1	1	ARMATTACK	5	317	55	31	64	15	0	0	0	1	0												0	65											
ReImagined HPI Compile\ReIm_GUIs\ARMPLAT1.GADGET6	1	1	ARMDEFEND	5	282	55	31	64	15	0	0	0	1	0												0	103											
ReImagined HPI Compile\ReIm_GUIs\ARMPLAT1.GADGET7	1	0	ARMSFIG	64	91	64	64	32	15	0	0	0	1	4												0	0	0										
ReImagined HPI Compile\ReIm_GUIs\ARMPLAT1.GADGET8	1	0	ARMLANCE	0	155	64	64	32	15	0	0	0	1	4												0	0	0										
ReImagined HPI Compile\ReIm_GUIs\ARMPLAT1.GADGET9	1	0	ARMSEAP	64	155	64	64	32	15	0	0	0	1	4												0	0	0										
ReImagined HPI Compile\ReIm_GUIs\ARMPLAT1.GADGET27	1	0	ARMORDERS	3	4	59	19	16	15	0	0	0	1	0												0	111	0										
ReImagined HPI Compile\ReIm_GUIs\ARMPLAT1.GADGET28	1	0	ARMBUILD	65	4	59	19	16	15	0	0	0	1	0												0	98	0										
ReImagined HPI Compile\ReIm_GUIs\ARMPLAT1.GADGET17	1	1	ARMBLAST	64	317	55	31	64	15	0	0	0	1	0													100											
ReImagined HPI Compile\ReIm_GUIs\Armscab1.GADGET0	0	0	HEADER	0	128	128	352	0	0	0	0	0	1	0		17	1	0	0	ARMPAN																		
ReImagined HPI Compile\ReIm_GUIs\Armscab1.GADGET1	7	0	ARMBUTT	0	0	0	0	0	0	0	0	0	1	0																				armbutt				
ReImagined HPI Compile\ReIm_GUIs\Armscab1.GADGET2	1	1	ARMMOVE	5	247	55	31	64	15	0	0	0	1	0													109											
ReImagined HPI Compile\ReIm_GUIs\Armscab1.GADGET3	1	1	ARMSTOP	64	247	55	31	0	15	0	0	0	1	0													115											
ReImagined HPI Compile\ReIm_GUIs\Armscab1.GADGET4	1	1	ARMPATROL	64	282	55	31	64	15	0	0	0	1	0													112											
ReImagined HPI Compile\ReIm_GUIs\Armscab1.GADGET5	1	1	ARMATTACK	5	317	55	31	64	15	0	0	0	1	0													97											
ReImagined HPI Compile\ReIm_GUIs\Armscab1.GADGET6	1	1	ARMDEFEND	5	282	55	31	64	15	0	0	0	1	0													103											
ReImagined HPI Compile\ReIm_GUIs\Armscab1.GADGET7	1	0	IGPATCH	64	91	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI Compile\ReIm_GUIs\Armscab1.GADGET8	1	0	IGPATCH	0	155	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI Compile\ReIm_GUIs\Armscab1.GADGET9	1	0	IGPATCH	64	155	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI Compile\ReIm_GUIs\Armscab1.GADGET27	1	0	ARMORDERS	3	4	59	19	16	15	0	0	0	1	0													111											
ReImagined HPI Compile\ReIm_GUIs\Armscab1.GADGET28	1	0	ARMBUILD	65	4	59	19	16	15	0	0	0	1	0													98											
ReImagined HPI Compile\ReIm_GUIs\Armscab1.GADGET17	1	1	ARMBLAST	64	317	55	31	64	15	0	0	0	1	0													100											
ReImagined HPI Compile\ReIm_GUIs\ARMSILO1.GADGET0	0	0	HEADER	0	128	128	352	0	0	0	0	0	1	0		17	1	0	0	ARMPAN																		
ReImagined HPI Compile\ReIm_GUIs\ARMSILO1.GADGET1	7	0	ARMBUTT	0	0	0	0	0	0	0	0	0	1	0																				armbutt				
ReImagined HPI Compile\ReIm_GUIs\ARMSILO1.GADGET2	1	1	ARMMOVE	5	247	55	31	64	15	0	0	0	1	0													109											
ReImagined HPI Compile\ReIm_GUIs\ARMSILO1.GADGET3	1	1	ARMSTOP	64	247	55	31	0	15	0	0	0	1	0													115											
ReImagined HPI Compile\ReIm_GUIs\ARMSILO1.GADGET4	1	1	ARMPATROL	64	282	55	31	64	15	0	0	0	1	0													112											
ReImagined HPI Compile\ReIm_GUIs\ARMSILO1.GADGET5	1	1	ARMATTACK	5	317	55	31	64	15	0	0	0	1	0													97											
ReImagined HPI Compile\ReIm_GUIs\ARMSILO1.GADGET6	1	1	ARMDEFEND	5	282	55	31	64	15	0	0	0	1	0													103											
ReImagined HPI Compile\ReIm_GUIs\ARMSILO1.GADGET7	1	0	IGPATCH	64	91	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI Compile\ReIm_GUIs\ARMSILO1.GADGET8	1	0	IGPATCH	0	155	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI Compile\ReIm_GUIs\ARMSILO1.GADGET9	1	0	IGPATCH	64	155	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI Compile\ReIm_GUIs\ARMSILO1.GADGET27	1	0	ARMORDERS	3	4	59	19	16	15	0	0	0	1	0													111											
ReImagined HPI Compile\ReIm_GUIs\ARMSILO1.GADGET28	1	0	ARMBUILD	65	4	59	19	16	15	0	0	0	1	0													98											
ReImagined HPI Compile\ReIm_GUIs\ARMSILO1.GADGET17	1	1	ARMBLAST	64	317	55	31	64	15	0	0	0	1	0													100											
ReImagined HPI Compile\ReIm_GUIs\ARMSY1.GADGET0	0	0	HEADER	0	128	128	352	0	0	0	0	0	1	0		17	1	0	0	ARMPAN																		
ReImagined HPI Compile\ReIm_GUIs\ARMSY1.GADGET1	7	0	ARMFONT	0	0	0	0	0	0	0	0	0	1	0																				armbutt				
ReImagined HPI Compile\ReIm_GUIs\ARMSY1.GADGET2	1	0	ARMORDERS	3	4	59	19	16	15	0	0	0	1	0												0	111											
ReImagined HPI Compile\ReIm_GUIs\ARMSY1.GADGET3	1	0	ARMBUILD	65	4	59	19	16	15	0	0	0	1	0												0	98	0										
ReImagined HPI Compile\ReIm_GUIs\ARMSY1.GADGET4	1	1	ARMMOVE	5	247	55	31	64	15	0	0	0	1	0												0	77											
ReImagined HPI Compile\ReIm_GUIs\ARMSY1.GADGET5	1	1	ARMSTOP	64	247	55	31	0	15	0	0	0	1	0												0	83											
ReImagined HPI Compile\ReIm_GUIs\ARMSY1.GADGET6	1	1	ARMPATROL	64	282	55	31	64	15	0	0	0	1	0												0	80											
ReImagined HPI Compile\ReIm_GUIs\ARMSY1.GADGET7	1	77	ARMTSHIP	64	91	64	64	32	15	0	0	0	1	4												0	0											
ReImagined HPI Compile\ReIm_GUIs\ARMSY1.GADGET8	1	77	ARMSUB	0	155	64	64	32	15	0	0	0	1	4												0	0											
ReImagined HPI Compile\ReIm_GUIs\ARMSY1.GADGET9	1	0	IGPATCH	64	155	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI Compile\ReIm_GUIs\ARMSY1.GADGET26	1	1	ARMATTACK	5	317	55	31	64	15	0	0	0	1	0												0	65											
ReImagined HPI Compile\ReIm_GUIs\ARMSY1.GADGET27	1	1	ARMDEFEND	5	282	55	31	64	15	0	0	0	1	0												0	103											
ReImagined HPI Compile\ReIm_GUIs\ARMSY1.GADGET17	1	1	ARMBLAST	64	317	55	31	64	15	0	0	0	1	0													100											
ReImagined HPI Compile\ReIm_GUIs\ARMVP1.GADGET0	0	0	HEADER	0	128	128	352	0	0	0	0	0	1	0		17	1	0	0	ARMPAN																		
ReImagined HPI Compile\ReIm_GUIs\ARMVP1.GADGET1	7	0	ARMFONT	0	0	0	0	0	0	0	0	0	1	0																				armbutt				
ReImagined HPI Compile\ReIm_GUIs\ARMVP1.GADGET2	1	0	ARMORDERS	3	4	59	19	16	15	0	0	0	1	0												0	111											
ReImagined HPI Compile\ReIm_GUIs\ARMVP1.GADGET3	1	0	ARMBUILD	65	4	59	19	16	15	0	0	0	1	0												0	98	0										
ReImagined HPI Compile\ReIm_GUIs\ARMVP1.GADGET4	1	1	ARMMOVE	5	247	55	31	64	15	0	0	0	1	0												0	77											
ReImagined HPI Compile\ReIm_GUIs\ARMVP1.GADGET5	1	1	ARMSTOP	64	247	55	31	0	15	0	0	0	1	0												0	83											
ReImagined HPI Compile\ReIm_GUIs\ARMVP1.GADGET6	1	1	ARMPATROL	64	282	55	31	64	15	0	0	0	1	0												0	80											
ReImagined HPI Compile\ReIm_GUIs\ARMVP1.GADGET7	1	77	ARMSTUMP	64	91	64	64	32	15	0	0	0	1	4												0	0											
ReImagined HPI Compile\ReIm_GUIs\ARMVP1.GADGET8	1	77	ARMSAM	0	155	64	64	32	15	0	0	0	1	4												0	0											
ReImagined HPI Compile\ReIm_GUIs\ARMVP1.GADGET9	1	0	IGPATCH	64	155	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI Compile\ReIm_GUIs\ARMVP1.GADGET26	1	1	ARMATTACK	5	317	55	31	64	15	0	0	0	1	0												0	65											
ReImagined HPI Compile\ReIm_GUIs\ARMVP1.GADGET27	1	1	ARMDEFEND	5	282	55	31	64	15	0	0	0	1	0												0	103											
ReImagined HPI Compile\ReIm_GUIs\ARMVP1.GADGET17	1	1	ARMBLAST	64	317	55	31	64	15	0	0	0	1	0													100											
ReImagined HPI Compile\ReIm_GUIs\BLANK.GADGET0	0	0	HEADER	0	0	640	480	0	0	0	0	0	0	0		1	-51	-51	-51			MainMenu	Missions													Start		
ReImagined HPI Compile\ReIm_GUIs\BLANK.GADGET1	5	0	TEXT	0	1	63	13	2	15	0	0	0	0	92											Blank GUI													
ReImagined HPI Compile\ReIm_GUIs\BRIEF.GADGET0	0	0	HEADER	0	0	640	480	0	0	0	0	0	0	0		5	1	0	0	PANEL																		
ReImagined HPI Compile\ReIm_GUIs\BRIEF.GADGET1	1	0		475	0	165	107	2	15	0	0	0	1	0											More Info	0	77	0										
ReImagined HPI Compile\ReIm_GUIs\BRIEF.GADGET2	1	0	Start	525	395	100	39	2	15	0	0	0	1	0											Start Mission	0	83	0										
ReImagined HPI Compile\ReIm_GUIs\BRIEF.GADGET3	1	243	PrevMenu	16	395	102	40	2	15	0	0	0	1	0											Pevious Menu	0	80	0										
ReImagined HPI Compile\ReIm_GUIs\BRIEF.GADGET4	5	243	PLANET	0	0	165	107	2	15	0	101	0	1	81											PLANET													
ReImagined HPI Compile\ReIm_GUIs\BRIEF.GADGET5	5	243	PANORAMA	3	119	635	124	2	15	0	101	0	1	81											PANORAMA													
ReImagined HPI Compile\ReIm_GUIs\BRIEFING.GADGET0	0	205	HEADER	16	138	607	203	52685	52685	52685	0	-51	-51	-51		5	-51	-51	-51																			
ReImagined HPI Compile\ReIm_GUIs\BRIEFING.GADGET1	1	243	OK	478	165	95	20	2	15	0	0	0	1	0											OK	0	0	0										
ReImagined HPI Compile\ReIm_GUIs\BRIEFING.GADGET2	5	243	MOREBAR	23	175	370	15	1298	15	0	100	1	1	-125																								
ReImagined HPI Compile\ReIm_GUIs\BRIEFING.GADGET3	5	243	TextRegion	24	17	360	148	1297	15	0	0	0	1	-125																								
ReImagined HPI Compile\ReIm_GUIs\BRIEFING.GADGET4	7	243	FONT	454	293	186	136	1	15	0	0	9	1	-125																				smlfont				
ReImagined HPI Compile\ReIm_GUIs\BRIEFING.GADGET5	7	243	FONT	600	321	26	66	1	15	0	0	9	1	-125																				armfont				
ReImagined HPI Compile\ReIm_GUIs\BRIEFING.GADGET6	7	243	FONT	600	321	26	66	1	15	0	0	9	1	-125																				corefont				
ReImagined HPI Compile\ReIm_GUIs\BRIEFX.GADGET0	0	0	HEADER	0	0	640	480	0	0	0	0	0	0	0		3	1	0	0	PANEL																		
ReImagined HPI Compile\ReIm_GUIs\BRIEFX.GADGET1	1	0	BEGIN	487	386	130	32	2	15	0	0	0	1	0											Begin Mission	0	66											
ReImagined HPI Compile\ReIm_GUIs\BRIEFX.GADGET2	1	0	PREVMENU	487	431	130	32	2	15	0	0	0	1	0											Previous Menu	0	80											
ReImagined HPI Compile\ReIm_GUIs\BRIEFX.GADGET3	1	243	MoreInfo	485	342	133	34	2	15	0	0	0	1	0											More Info	0	77											
ReImagined HPI Compile\ReIm_GUIs\BUILDING.GADGET0	0	205	HEADER	0	128	192	352	-842150451	-842150451	-842150451	0	-51	1	-51		6	-51	-51	-51	ÍÍÍÍÍÍÍÍ																		
ReImagined HPI Compile\ReIm_GUIs\BUILDING.GADGET1	1	132	COMMAND	0	0	64	64	2	15	0	0	0	1	-12											C. Center	0	0											
ReImagined HPI Compile\ReIm_GUIs\BUILDING.GADGET2	1	132	STOP	64	0	64	64	2	15	0	0	0	1	-12											Building	0	0											
ReImagined HPI Compile\ReIm_GUIs\BUILDING.GADGET3	1	77	ATTACK	128	0	64	64	2	15	0	0	0	1	-12											Building2	0	0											
ReImagined HPI Compile\ReIm_GUIs\BUILDING.GADGET4	1	77	STAND	0	64	64	64	2	15	0	0	0	1	-12											Building3	0	0											
ReImagined HPI Compile\ReIm_GUIs\BUILDING.GADGET5	1	77	REPAIR	64	64	64	64	2	15	0	0	0	1	-12											Building4	0	0											
ReImagined HPI Compile\ReIm_GUIs\BUILDING.GADGET6	1	77	BOARD	128	64	64	64	2	15	0	0	0	1	-12											Building5	0	0											
ReImagined HPI Compile\ReIm_GUIs\CDCHECK.GADGET0	0	0	HEADER	164	147	348	117	0	0	0	0	0	0	0		2	0	0	0		OK		OK															
ReImagined HPI Compile\ReIm_GUIs\CDCHECK.GADGET1	5	0	Message	6	24	335	13	2	15	0	0	0	1	104											Please insert the Play CD													
ReImagined HPI Compile\ReIm_GUIs\CDCHECK.GADGET2	1	0	OK	253	82	80	20	2	15	0	0	0	1	0											Ok	0	0	0	0									
ReImagined HPI Compile\ReIm_GUIs\CHATSEL.GADGET0	0	0	HEADER	155	9	362	439	0	0	0	0	0	0	0		15	-51	-51	-51		OK																	
ReImagined HPI Compile\ReIm_GUIs\CHATSEL.GADGET1	1	50	ALLIES	104	67	150	25	10	15	0	0	0	1	99											ALLIES	0	-68	0										
ReImagined HPI Compile\ReIm_GUIs\CHATSEL.GADGET2	1	50	ENEMIES	104	99	150	25	10	15	0	0	0	1	99											ENEMIES	0	-68	0										
ReImagined HPI Compile\ReIm_GUIs\CHATSEL.GADGET3	1	50	ALL	104	36	150	25	10	15	0	0	0	1	99											ALL	0	-68	0										
ReImagined HPI Compile\ReIm_GUIs\CHATSEL.GADGET4	1	50	PLAYER0	20	147	150	25	10	15	0	0	0	1	99											PLAYER0	0	-68	0										
ReImagined HPI Compile\ReIm_GUIs\CHATSEL.GADGET5	1	50	PLAYER1	196	149	150	25	10	15	0	0	0	1	99											PLAYER1	0	-68	0										
ReImagined HPI Compile\ReIm_GUIs\CHATSEL.GADGET6	1	50	PLAYER2	20	182	150	25	10	15	0	0	0	1	99											PLAYER2	0	-68	0										
ReImagined HPI Compile\ReIm_GUIs\CHATSEL.GADGET7	1	50	PLAYER3	197	183	150	25	10	15	0	0	0	1	99											PLAYER3	0	-68	0										
ReImagined HPI Compile\ReIm_GUIs\CHATSEL.GADGET8	1	50	PLAYER4	20	216	150	25	10	15	0	0	0	1	99											BUTTON NAME	0	-68	0										
