	ID	name	rendertype	lineofsight	turret	model	range	reloadtime	weapontimer	weaponvelocity	startvelocity	weaponacceleration	turnrate	areaofeffect	metalpershot	soundstart	soundhit	firestarter	smokedelay	guidance	tracks	selfprop	smoketrail	tolerance	explosiongaf	explosionart	waterexplosiongaf	waterexplosionart	lavaexplosiongaf	lavaexplosionart	startsmoke	DAMAGE.default	DAMAGE.ARMTHUND	DAMAGE.ARMBRAWL	DAMAGE.ARMPEEP	DAMAGE.ARMFIG	DAMAGE.ARMCA	DAMAGE.ARMACA	DAMAGE.ARMATLAS	DAMAGE.ARMPNIX	DAMAGE.ARMHAWK	DAMAGE.ARMLANCE	DAMAGE.CORFINK	DAMAGE.CORVENG	DAMAGE.CORVAMP	DAMAGE.CORHURC	DAMAGE.CORTITAN	DAMAGE.CORACA	DAMAGE.CORSHAD	DAMAGE.CORAPE	DAMAGE.CORCA	DAMAGE.CORVALK	ballistic	toairweapon	edgeeffectiveness	minbarrelangle	accuracy	burnblow	color	beamweapon	color2	propeller	waterweapon	vlaunch	paralyzer	noautorange	flighttime	energypershot	stockpile	targetable	commandfire	cruise	twophase	shakemagnitude	shakeduration	DAMAGE.armamd	DAMAGE.corfmd	DAMAGE.corcom	DAMAGE.coraap	DAMAGE.coraca	DAMAGE.corack	DAMAGE.coracsub	DAMAGE.coracv	DAMAGE.corah	DAMAGE.corak	DAMAGE.coralab	DAMAGE.coramph	DAMAGE.corap	DAMAGE.corape	DAMAGE.corarad	DAMAGE.corarch	DAMAGE.corason	DAMAGE.corasp	DAMAGE.corasy	DAMAGE.coratl	DAMAGE.coravp	DAMAGE.corawac	DAMAGE.corbats	DAMAGE.corbeac	DAMAGE.corberg	DAMAGE.corbuild	DAMAGE.corbunk	DAMAGE.corburn	DAMAGE.corbuzz	DAMAGE.corbvalk	DAMAGE.corca	DAMAGE.corcan	DAMAGE.corcarry	DAMAGE.corch	DAMAGE.corck	DAMAGE.corckfus	DAMAGE.corcrash	DAMAGE.corcrus	DAMAGE.corcs	DAMAGE.corcsa	DAMAGE.corcv	DAMAGE.cordecom	DAMAGE.cordev1	DAMAGE.cordino	DAMAGE.cordoom	DAMAGE.corestor	DAMAGE.coreter	DAMAGE.corfast	DAMAGE.corfav	DAMAGE.corfdrag	DAMAGE.corfhlt	DAMAGE.corfink	DAMAGE.corflak	DAMAGE.corfmkr	DAMAGE.corfrt	DAMAGE.corfus	DAMAGE.corgant	DAMAGE.corgate	DAMAGE.corgator	DAMAGE.corgeo	DAMAGE.corgol	DAMAGE.corhead	DAMAGE.corhlt	DAMAGE.corhp	DAMAGE.corhrk	DAMAGE.corhunt	DAMAGE.corhurc	DAMAGE.corint	DAMAGE.corkrog	DAMAGE.corlab	DAMAGE.corlevlr	DAMAGE.corllt	DAMAGE.corlook	DAMAGE.cormabm	DAMAGE.cormakr	DAMAGE.cormart	DAMAGE.cormex	DAMAGE.cormh	DAMAGE.cormine1	DAMAGE.cormine2	DAMAGE.cormine3	DAMAGE.cormine4	DAMAGE.cormine5	DAMAGE.cormine6	DAMAGE.cormist	DAMAGE.cormls	DAMAGE.cormlv	DAMAGE.cormmkr	DAMAGE.cormoho	DAMAGE.cormort	DAMAGE.cormship	DAMAGE.cormstor	DAMAGE.cornecro	DAMAGE.corplat	DAMAGE.corpt	DAMAGE.corpun	DAMAGE.corpyro	DAMAGE.corrad	DAMAGE.corraid	DAMAGE.correap	DAMAGE.corrl	DAMAGE.corroach	DAMAGE.corroy	DAMAGE.corscorp	DAMAGE.corseal	DAMAGE.corseap	DAMAGE.corsent	DAMAGE.corsfig	DAMAGE.corsh	DAMAGE.corshad	DAMAGE.corshark	DAMAGE.corsilo	DAMAGE.corsjam	DAMAGE.corsnap	DAMAGE.corsolar	DAMAGE.corsonar	DAMAGE.corspec	DAMAGE.corspot	DAMAGE.corspy	DAMAGE.corss	DAMAGE.corssub	DAMAGE.corstorm	DAMAGE.corsub	DAMAGE.corsumo	DAMAGE.corsy	DAMAGE.cortarg	DAMAGE.corthovr	DAMAGE.corthud	DAMAGE.corthund	DAMAGE.cortide	DAMAGE.cortitan	DAMAGE.cortl	DAMAGE.cortoast	DAMAGE.cortron	DAMAGE.cortruck	DAMAGE.cortship	DAMAGE.coruwes	DAMAGE.coruwfus	DAMAGE.coruwmex	DAMAGE.coruwms	DAMAGE.corvalk	DAMAGE.corvamp	DAMAGE.corveng	DAMAGE.corvipe	DAMAGE.corvoyr	DAMAGE.corvp	DAMAGE.corvrad	DAMAGE.corvroc	DAMAGE.corwin	soundtrigger	duration	DAMAGE.armmine1	DAMAGE.armmine2	DAMAGE.armmine3	DAMAGE.armmine4	DAMAGE.armmine5	DAMAGE.ARMCOM	DAMAGE.CORCOM	coverage	interceptor	burstrate	DAMAGE.armcom	aimrate	sprayangle	burst	DAMAGE.Default	holdtime	DAMAGE.ARMSEAP	DAMAGE.ARMSEHAK	DAMAGE.CORSEAP	DAMAGE.CORHUNT	DAMAGE.armflash	DAMAGE.armpw	DAMAGE.armwar	DAMAGE.armatl	DAMAGE.armtl	DAMAGE.armsubk	startfire	DAMAGE.armaas	DAMAGE.armaca	DAMAGE.armack	DAMAGE.armacsub	DAMAGE.armacv	DAMAGE.armah	DAMAGE.armamph	DAMAGE.armanac	DAMAGE.armaser	DAMAGE.armatlas	DAMAGE.armawac	DAMAGE.armbats	DAMAGE.armbrawl	DAMAGE.armbs	DAMAGE.armbull	DAMAGE.armbv	DAMAGE.armca	DAMAGE.armcarry	DAMAGE.armch	DAMAGE.armck	DAMAGE.armcroc	DAMAGE.armcrus	DAMAGE.armcs	DAMAGE.armcsa	DAMAGE.armcuda	DAMAGE.armcv	DAMAGE.armdecom	DAMAGE.armfark	DAMAGE.armfast	DAMAGE.armfav	DAMAGE.armfido	DAMAGE.armfig	DAMAGE.armflea	DAMAGE.armham	DAMAGE.armhawk	DAMAGE.armhrk	DAMAGE.armjam	DAMAGE.armjeth	DAMAGE.armlance	DAMAGE.armlatnk	DAMAGE.armlcrwl	DAMAGE.armmanni	DAMAGE.armmark	DAMAGE.armmart	DAMAGE.armmav	DAMAGE.armmerl	DAMAGE.armmh	DAMAGE.armmls	DAMAGE.armmlv	DAMAGE.armmship	DAMAGE.armpeep	DAMAGE.armpnix	DAMAGE.armpt	DAMAGE.armrectr	DAMAGE.armrock	DAMAGE.armroy	DAMAGE.armrtank	DAMAGE.armsam	DAMAGE.armscab	DAMAGE.armscram	DAMAGE.armseap	DAMAGE.armseer	DAMAGE.armsehak	DAMAGE.armsfig	DAMAGE.armsh	DAMAGE.armsjam	DAMAGE.armsnipe	DAMAGE.armspid	DAMAGE.armspy	DAMAGE.armss	DAMAGE.armstar	DAMAGE.armstraf	DAMAGE.armstump	DAMAGE.armsub	DAMAGE.armthovr	DAMAGE.armthund	DAMAGE.armship	DAMAGE.armvader	DAMAGE.armyork	DAMAGE.armzeus	DAMAGE.armtship	meteor	noradar	unitsonly	soundwater	randomdecay	groundbounce	endsmoke	dropped	metal	energy	pitchtolerance	noexplode
ReImagined HPI Compile\ReIm_Weapons\Corsnap_weapon.CORSNAP_WEAPON	154	Plasma Cannon	4		1		290	1.3		260				48		cannon2	xplomed4								fx	explode3	fx	h2o	fx	lavasplash	1	85																					1																																																																																																																																																																																																																																																																																																					
ReImagined HPI Compile\ReIm_Weapons\Corssub_weapon.CORSSUB_WEAPON	183	Unguided Torpedo	1	1	0	torpedo	500	5.8	3	100	60	15	38000	5		torpedo2	xplodep3			1	1	1		37152	fx	explode3	fx	h2oboom1	fx	lavasplashsm		812																										1				1	1																																150																																																																																											90																					250																																											150	250	80																																																																																														
ReImagined HPI Compile\ReIm_Weapons\Corsumo_weapon.CORSUMO_WEAPON	174	High Energy Laser	0	1	1		300	1.05		700				12		lasrhvy3	lasrhit1	90							fx	explode5	fx	h2oboom1	fx	lavasplashsm		290																											96	1	98							100																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\Cortoast_weapon.CORTOAST_GUN	44	Pop-up Cannon	4		1		885	3.2		380				105		cannhvy5	xplomed2								fx	explode2	fx	h2o	fx	lavasplash	1	295																					1			-40																																																																																																																																																																																																																																																																																																		
ReImagined HPI Compile\ReIm_Weapons\CORTRON_weapon.CORTRON_WEAPON	144	Atomic Blast Weapon	1	1		tronmisl	32000	180	5	350		50	32768	362	1800	misicbm1	xplomed4		.1	1		1	1	4000	tronboom	tronboom	fx	h2oboom2	fx	lavasplashlg	1	1																							0.25							1		1		1	400	150000	1	1	1	1	1	24	1.5																																																																																																								2000																																																										1500										2000	2000	2000			2000	0	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000												
ReImagined HPI Compile\ReIm_Weapons\Corvipe_weapon.CORVIPE_LASER	47	Laser	0	1	1		380	1		800				8		Lasrmas2	lasrhit1	80						2000	fx	explode5	fx	h2oboom1	fx	lavasplashsm		140																											96	1	98							25																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\DECOY_COMMANDER_BLAST.DECOY_COMMANDER_BLAST	155	Atomic Blast Weapon	4		1		380	3.6		250				950		largegun	xplonuk4								commboom	commboom	fx	h2oboom2	fx	lavasplashlg		100																					1		0.15																			32	2																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\earthquake.EARTHQUAKE	227	Earthquake	4							300				512																		50																							0.75				255															32	2																																																																																																																																																																																																																																																																				1	1										
ReImagined HPI Compile\ReIm_Weapons\FIRES.TREEBURN	245	Burning Tree												64																		100																							0.5																																																																																																																																																																																																																																																																																										1									
ReImagined HPI Compile\ReIm_Weapons\FIRES.SHRUBBURN	246	Burning Bush												48																		50																							0.5																																																																																																																																																																																																																																																																																										1									
ReImagined HPI Compile\ReIm_Weapons\FIRES.GASBAG	99	Gas Bag												140																		500																							0.5																																																																																																																																																																																																																																																																																										1									
ReImagined HPI Compile\ReIm_Weapons\LASERS.ARM_LIGHTLASER	80	Light Laser	0	1	1		300	.52		900				8		lasrfir3	lasrhit2	30						500	fx	explode5	fx	h2oboom1	fx	lavasplashsm		60																											232	1	234							10																																																																																																																																																													1																																																																																																																									
ReImagined HPI Compile\ReIm_Weapons\LASERS.CORE_LIGHTLASER	81	Light Laser	0	1	1		300	.52		800				8		lasrfir3	lasrhit2	30						700	fx	explode5	fx	h2oboom1	fx	lavasplashsm		60																											232	1	234							10																																																																																																																																																													1																																																																																																																									
ReImagined HPI Compile\ReIm_Weapons\LASERS.ARM_LASER	82	Laser	0	1	1		180	.865		400				8		lasrfir1	lasrhit2	50							fx	explode5	fx	h2oboom1	fx	lavasplashsm		30																											208	1	0																																																																																																																																																																				1	.02										.2																																																																																																														
ReImagined HPI Compile\ReIm_Weapons\LASERS.ARM_FAST	83	Laser	0	1	1		210	.8		400				8		lasrfast	lashit	50							fx	explode5	fx	h2oboom1	fx	lavasplashsm		40																											232	1	234																																																																																																																																																																				1	.02										.2																																																																																																														
ReImagined HPI Compile\ReIm_Weapons\LASERS.GATOR_LASER	85	Laser	0	1	1		180	1		400				8		lasrlit3	lasrhit2	50							fx	explode5	fx	h2oboom1	fx	lavasplashsm		44																											232	1	234																																																																																																																																																																				1	.02										.2																																																																																																														
ReImagined HPI Compile\ReIm_Weapons\LASERS.ARMAIR2AIRLASER	86	Laser	0	1	1		600	.4		900				8		lasrlit1	lashit	50							fx	explode5	fx	h2oboom1	fx	lavasplashsm		6	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32							208	1	0																																																																																																																																																																				1	.01																																																																																																																								
ReImagined HPI Compile\ReIm_Weapons\LASERS.CORAIR2AIRLASER	87	Laser	0	1	1		600	.39		900				8		lasrlit1	lashit	50							fx	explode5	fx	h2oboom1	fx	lavasplashsm		5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30							208	1	0																																																																																																																																																																				1	.01																																																																																																																								
ReImagined HPI Compile\ReIm_Weapons\LASERS.CORE_LASER	88	Laser	0	1	1		180	.865		400				8		lasrfir1	lasrhit2	50							fx	explode5	fx	h2oboom1	fx	lavasplashsm		30																											208	1	0																																																																																																																																																																				1	.02										.2																																																																																																														
ReImagined HPI Compile\ReIm_Weapons\LASERS.ARMPT_LASER	89	Laser	0	1	1		180	1		400				8		lasrfir1	lasrhit2	50							fx	explode5	fx	h2oboom1	fx	lavasplashsm		13																											208	1	0																																																																																																																																																																				1	.02										.2																																																																																																														
ReImagined HPI Compile\ReIm_Weapons\LASERS.COREPT_LASER	90	Laser	0	1	1		180	.95		400				8		lasrfir1	lasrhit2	50							fx	explode5	fx	h2oboom1	fx	lavasplashsm		10																											208	1	0																																																																																																																																																																				1	.02										.2																																																																																																														
ReImagined HPI Compile\ReIm_Weapons\LASERS.ARM_LASERH1	91	High Energy Laser	0	1	1		430	.965		800				8		Lasrmas2	lasrhit1	90						8000	fx	explode5	fx	h2oboom1	fx	lavasplashsm		180																											96	1	98							75																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\LASERS.CORE_LASERH1	92	High Energy Laser	0	1	1		400	.965		700				8		Lasrmas2	lasrhit1	90						500	fx	explode5	fx	h2oboom1	fx	lavasplashsm		180																											96	1	98							75																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\LASERS.CORE_BATSLASER	93	High Energy Laser	0	1	1		810	1.1		700				8		Lasrmas2	lasrhit1	90						500	fx	explode5	fx	h2oboom1	fx	lavasplashsm		180																											96	1	98							75																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\LASERS.CORE_CANLASER	94	High Energy Laser	0	1	1		200	.95		700				8		lasrhvy3	lasrhit1	90							fx	explode5	fx	h2oboom1	fx	lavasplashsm		220																											96	1	98							75																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\METEORS.METEOR	225	Meteor	1			asteroid6				300				100			xplomed2								fx	explode5	fx	h2oboom1	fx	lavasplashsm		100																							0.5																																																																																																																																																																																																																																																																																								1			splshbig								
ReImagined HPI Compile\ReIm_Weapons\METEORS.HAILSTORM	226	Hail storm	1			hail1				150				32			xplomed2								fx	parablast	fx	h2oboom1	fx	lavasplashsm		50																							0.5																																																																																																																																																																																																																																																																																								1			splshbig								
ReImagined HPI Compile\ReIm_Weapons\MISSILES.ARMKBOT_MISSILE	100	Missiles	1	1	1	missile	604	2.4	5	650	450	101	33000	48	0	rocklit1	xplosml2	70	.1	1	1	1	1	9000	fx	explode3	fx	h2o	fx	lavasplash	1	31	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\MISSILES.CORKBOT_MISSILE	101	Missiles	1	1	1	missile	590	2.5	5	650	450	104	33000	48	0	rocklit1	xplosml2	70	.1	1	1	1	1	9000	fx	explode3	fx	h2o	fx	lavasplash	1	32	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\MISSILES.CORSHIP_MISSILE	102	Missiles	1	1	1	missile	700	2	5	450	400	121	30000	48	0	rockhvy2	xplomed2	70	.1	1	1	1	1	8000	fx	explode3	fx	h2o	fx	lavasplash	1	62	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\MISSILES.ARMSHIP_MISSILE	103	Missiles	1	1	1	missile	710	2	5	450	430	121	30000	48	0	rockhvy2	xplomed2	70	.1	1	1	1	1	8000	fx	explode3	fx	h2o	fx	lavasplash	1	57	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\MISSILES.ARMTRUCK_MISSILE	104	Missiles	1	1	1	missile	600	2.5	5	540	450	141	30000	48	0	rockhvy2	xplomed2	70	.1	1	1	1	1	8000	fx	explode3	fx	h2o	fx	lavasplash	1	40	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\MISSILES.CORTRUCK_MISSILE	105	Missiles	1	1	1	missile	600	2.5	5	545	450	136	30000	48	0	rockhvy2	xplomed2	70	.1	1	1	1	1	8000	fx	explode3	fx	h2o	fx	lavasplash	1	41	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\MISSILES.ARMRL_MISSILE	106	Missiles	1	1	1	missile	700	2	5	660	470	154	50000	48	0	rockhvy2	xplomed2	70	.1	1	1	1	1	10000	fx	explode3	fx	h2o	fx	lavasplash	1	46	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\MISSILES.CORRL_MISSILE	107	Missiles	1	1	1	missile	700	2	5	650	460	152	50000	48	0	rockhvy2	xplomed2	70	.1	1	1	1	1	10000	fx	explode3	fx	h2o	fx	lavasplash	1	45	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\MISSILES.ARMVTOL_MISSILE	108	Guided Missiles	1	1		missile	510	3	5	480	420	146	16384	48	0	Rocklit3	xplosml2	70	.1	1	1	1	1	8000	fx	explode3	fx	h2o	fx	lavasplash	1	44	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\MISSILES.CORVTOL_MISSILE	109	Guided Missiles	1	1		missile	502	3	5	470	425	149	16384	48	0	Rocklit3	xplosml2	70	.1	1	1	1	1	8000	fx	explode3	fx	h2o	fx	lavasplash	1	46	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136	136																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\MISSILES.ARMVTOL_ADVMISSILE	112	Guided Missiles	1	1		missile	659	3	7	559	450	130	24384	48	0	Rocklit3	xplosml2	70	.1	1	1	1	1	8000	fx	explode3	fx	h2o	fx	lavasplash	1	70	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150																																																																																																																																																																																															150	150	150																																																																																																					
ReImagined HPI Compile\ReIm_Weapons\MISSILES.CORVTOL_ADVMISSILE	113	Guided Missiles	1	1		missile	650	3	7	550	450	131	24384	48	0	Rocklit3	xplosml2	70	.1	1	1	1	1	8000	fx	explode3	fx	h2o	fx	lavasplash	1	68	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155																																																																																																																																																																																															155	155	155																																																																																																					
ReImagined HPI Compile\ReIm_Weapons\MISSILES.CORVTOL_ADVMISSILE2	114	Guided Missiles	1	1		missile	650	3	7	550	450	131	24384	48	0	Rocklit3	xplosml2	70	.1	1	1	1	1	8000	fx	explode3	fx	h2o	fx	lavasplash	1	68	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\MISSILES.ARMVTOL_ADVMISSILE2	115	Guided Missiles	1	1		missile	659	3	7	554	450	13O	24384	48	0	Rocklit3	xplosml2	70	.1	1	1	1	1	8000	fx	explode3	fx	h2o	fx	lavasplash	1	70	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\ROCKETS.KBOT_ROCKET	120	Rockets	1	1	1	missile	400	4	2	250	250	120		48	0	rocklit1	xplosml2	70	.1			1	1		fx	explode3	fx	h2o	fx	lavasplash	1	105																																																																																																																																																																																																																																																																																																																										
ReImagined HPI Compile\ReIm_Weapons\ROCKETS.CORKBOT_ROCKET	121	Rockets	1	1	1	missile	400	3.7	2	250	250	120		48	0	rocklit1	xplosml2	70	.1			1	1		fx	explode3	fx	h2o	fx	lavasplash	1	100																																																																																																																																																																																																																																																																																																																										
ReImagined HPI Compile\ReIm_Weapons\ROCKETS.NUCLEAR_MISSILE	122	Nuclear Missile	1	1		ballmiss	32000	180	5	350		50	32768	512	2000	misicbm1	xplomed4	100	.1	1		1	1	4000	commboom	commboom	fx	h2oboom2	fx	lavasplashlg	1	5500																							0.25							1		1		1	400	180000	1	1	1	1	1	24	1.5																																																																																																																																																													2900	2900																																																																																																																	
ReImagined HPI Compile\ReIm_Weapons\ROCKETS.CRBLMSSL	123	Rocket	1	1		crblmssl	32000	180	5	350		50	32768	512	2000	misicbm1	xplomed4	100	.1	1		1	1	4000	commboom	commboom	fx	h2oboom2	fx	lavasplashlg	1	5500																							0.25							1		1		1	400	180000	1	1	1	1	1	24	1.5																																																																																																																																																													2900	2900																																																																																																																	
ReImagined HPI Compile\ReIm_Weapons\ROCKETS.ARMTRUCK_ROCKET	124	Rocket	1	1		rocket	800	12	5	400		40	24384	96	0	Rockhvy1	xplomed4	100	.1	1		1	1	4000	fx	explode3	fx	h2oboom2	fx	lavasplashlg	1	500																																1		1	10						1																																																																																																																																																																																																																																																																																	
ReImagined HPI Compile\ReIm_Weapons\ROCKETS.CORTRUCK_ROCKET	126	Rocket	1	1		corvrocket	800	13	5	375		38	24384	96	0	Rockhvy1	xplomed4	100	.1	1		1	1	4000	fx	explode3	fx	h2oboom2	fx	lavasplashlg	1	500																																1		1	10						1																																																																																																																																																																																																																																																																																	
ReImagined HPI Compile\ReIm_Weapons\ROCKETS.ARMMSHIP_ROCKET	128	Rocket	1	1		rocket	1300	12	5	400		40	24384	96	0	Rockhvy1	xplomed4	100	.1	1		1	1	4000	fx	explode3	fx	h2oboom2	fx	lavasplashlg	1	500																																1		1	10						1																																																																																																																																																																																																																																																																																	
ReImagined HPI Compile\ReIm_Weapons\ROCKETS.CORMSHIP_ROCKET	130	Rocket	1	1		corshiprckt1	1300	9	5	400		40	24384	96	0	Rockhvy1	xplomed4	100	.1	1		1	1	4000	fx	explode3	fx	h2oboom2	fx	lavasplashlg	1	500																																1		1	10						1																																																																																																																																																																																																																																																																																	
ReImagined HPI Compile\ReIm_Weapons\ROCKETS.VTOL_ROCKET	135	Rockets	1	1		missile	450	2	5	350	100	51	7680	48	0	rocklit3	explode	70	.1			1	1	8000	fx	explode3	fx	h2o	fx	lavasplash	1	125																																																																																																																																																																																																																																																																																																																										
ReImagined HPI Compile\ReIm_Weapons\ROCKETS.VTOL_ROCKET2	136	Rockets	1	1		missile	450	2	5	350	250	131	7680	48	0	rocklit3	explode	70	.1			1	1	8000	fx	explode3	fx	h2o	fx	lavasplash	1	125																																																																																																																																																																																																																																																																																																																										
ReImagined HPI Compile\ReIm_Weapons\UNITS.SMALL_BUILDING	200	Small building	4		1		480	3.6		250				205		largegun	xplosml3								fx	explode2	fx	h2o				900																					1																					0	0																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\UNITS.MEDIUM_BUILDING	201	Medium building	4		1		480	3.6		250				325		largegun	xplomed1								fx	explode2	fx	h2o				1400																					1																					0	0																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\UNITS.LARGE_BUILDING	202	Large building	4		1		480	3.6		250				400		largegun	xplolrg4								fx	explode2	fx	h2oboom2				1800																					1																					8	.3																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\UNITS.ESTOR_BUILDING	203	Small building	4		1		480	3.6		250				420		largegun	xplonuk1								fx	explode2	fx	h2oboom2				1900																					1																					8	.5																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\UNITS.SMALL_UNIT	204	Small tank	4		1		480	3.6		250				75		largegun	xplomed2								fx	explode2	fx	h2o				200																					1																					0	0																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\UNITS.MEDIUM_UNIT	110	Medium Unit	4		1		480	3.6		250				95		largegun	xplolrg3								fx	explode2	fx	h2oboom2				250																					1																					0	0																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\UNITS.BIG_UNIT	205	Big Kbot	4		1		480	3.6		250				110		largegun	xplolrg3								fx	explode2	fx	h2oboom2				350																					1																					8	.3																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\UNITS.SMALL_BUILDINGEX	206	Small building	4		1		480	3.6		70				205		largegun	xplosml3								fx	explode2	fx	h2o				40																					1																					0	0																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\UNITS.MEDIUM_BUILDINGEX	207	Medium building	4		1		480	3.6		250				105		largegun	xplomed1								fx	explode2	fx	h2o				100																					1																					0	0																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\UNITS.LARGE_BUILDINGEX	208	Large building	4		1		480	3.6		250				120		largegun	xplolrg4								fx	explode2	fx	h2oboom2				300																					1																					8	.3																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\UNITS.ESTOR_BUILDINGEX	209	Small building	4		1		480	3.6		250				150		largegun	xplonuk1								fx	explode2	fx	h2oboom2				900																					1																					8	.5																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\UNITS.SMALL_UNITEX	210	Small tank	4		1		480	3.6		250				30		largegun	xplomed2								fx	explode2	fx	h2o				30																					1																					0	0																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\UNITS.BIG_UNITEX	211	Big Kbot	4		1		480	3.6		250				110		largegun	xplolrg3								fx	explode2	fx	h2oboom2				50																					1																					8	.3																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\UNITS.CORPYRO_BLAST	212	Pyro Blast	4		1		480	3.6		250				128		largegun	xplolrg3								fx	explode2	fx	h2oboom2				60																					1																					0	0																																																																																																	15																																																																																																																																																																														
ReImagined HPI Compile\ReIm_Weapons\UNITS.COMMANDER_BLAST	213	Atomic Blast Weapon	4		1		380	3.6		250				950		largegun	xplonuk4								commboom	commboom	fx	h2oboom2	fx	lavasplashlg		9999																					1		0.75																			32	2																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\UNITS.CRAWL_BLAST	214	Crawling Bomb	4		1		480	3.6		250				556		largegun	xplonuk3								fx	explode2	fx	h2oboom2				2500																					1																					24	1.5																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\UNITS.CRAWL_BLASTSML	215	Wimpy Crawling Bomb	4		1		480	3.6		250				275		largegun	xplonuk3								fx	explode2	fx	h2oboom2				1200																					1																					24	1.5																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.NOWEAPON	0	No Weapon					16																									0																																																																																																																																																																																																																																																																																																																										
ReImagined HPI Compile\ReIm_Weapons\WEAPONS.FLAMETHROWER	1	Flame Thrower	5		1		160	1.2	1	188				32		Flamhvy1	burn02	100	1					200							0	10																					1																																																																																																																							2																																																																.04			1024	17																																																																																																			.3	1	1					
